sentence,sentiment,polarity,subjectivity
"
Gentlemen of the Senate and Gentlemen of the House of Representatives:
While with reverence and resignation we contemplate the dispensations of Divine Providence in the alarming and destructive pestilence with which several of our cities and towns have been visited, there is cause for gratitude and mutual congratulations that the malady has disappeared and that we are again permitted to assemble in safety at the seat of Government for the discharge of our important duties.","Sentiment(polarity=-0.07499999999999998, subjectivity=0.55)",-0.07499999999999997,0.55
"But when we reflect that this fatal disorder has within a few years made repeated ravages in some of our principal sea ports, and with increased malignancy, and when we consider the magnitude of the evils arising from the interruption of public and private business, whereby the national interests are deeply affected, I think it my duty to invite the Legislature of the Union to examine the expediency of establishing suitable regulations in aid of the health laws of the respective States; for these being formed on the idea that contagious sickness may be communicated through the channels of commerce, there seems to be a necessity that Congress, who alone can regulate trade, should frame a system which, while it may tend to preserve the general health, may be compatible with the interests of commerce and the safety of the revenue.","Sentiment(polarity=0.05714285714285715, subjectivity=0.32738095238095244)",0.05714285714285715,0.32738095238095244
"While we think on this calamity and sympathize with the immediate sufferers, we have abundant reason to present to the Supreme Being our annual oblations of gratitude for a liberal participation in the ordinary blessings of His providence.","Sentiment(polarity=0.11666666666666665, subjectivity=0.48333333333333334)",0.11666666666666665,0.4833333333333333
To the usual subjects of gratitude I can not omit to add one of the 1st importance to our well being and safety; I mean that spirit which has arisen in our country against the menaces and aggression of a foreign nation.,"Sentiment(polarity=-0.22916666666666666, subjectivity=0.3541666666666667)",-0.22916666666666666,0.3541666666666667
"A manly sense of national honor, dignity, and independence has appeared which, if encouraged and invigorated by every branch of the Government, will enable us to view undismayed the enterprises of any foreign power and become the sure foundation of national prosperity and glory.","Sentiment(polarity=0.1875, subjectivity=0.5069444444444444)",0.1875,0.5069444444444444
The course of the transactions in relation to the United States and France which have come to my knowledge during your recess will be made the subject of a future communication.,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.22916666666666666)",-0.08333333333333333,0.22916666666666666
That communication will confirm the ultimate failure of the measures which have been taken by the Government of the United States toward an amicable adjustment of differences with that power.,"Sentiment(polarity=-0.15833333333333335, subjectivity=0.65)",-0.15833333333333335,0.65
"You will at the same time perceive that the French Government appears solicitous to impress the opinion that it is averse to a rupture with this country, and that it has in a qualified manner declared itself willing to receive a minister from the United States for the purpose of restoring a good understanding.","Sentiment(polarity=0.25, subjectivity=0.465)",0.25,0.465
"It is unfortunate for professions of this kind that they should be expressed in terms which may countenance the inadmissible pretension of a right to prescribe the qualifications which a minister from the United States should possess, and that while France is asserting the existence of a disposition on her part to conciliate with sincerity the differences which have arisen, the sincerity of a like disposition on the part of the United States, of which so many demonstrative proofs have been given, should even be indirectly questioned.","Sentiment(polarity=0.22142857142857142, subjectivity=0.7339285714285714)",0.22142857142857145,0.7339285714285714
"It is also worthy of observation that the decree of the Directory alleged to be intended to restrain the depredations of French cruisers on our commerce has not given, and can not give, any relief.","Sentiment(polarity=0.07777777777777777, subjectivity=0.3666666666666667)",0.07777777777777778,0.3666666666666667
"It enjoins them to conform to all the laws of France relative to cruising and prizes, while these laws are themselves the sources of the depredations of which we have so long, so justly, and so fruitlessly complained.","Sentiment(polarity=-0.11666666666666665, subjectivity=0.20000000000000004)",-0.11666666666666665,0.20000000000000004
"The law of France enacted in January last, which subjects to capture and condemnation neutral vessels and their cargoes if any portion of the latter are of British fabric or produce, although the entire property belong to neutrals, instead of being rescinded has lately received a confirmation by the failure of a proposition for its repeal.","Sentiment(polarity=-0.10277777777777779, subjectivity=0.2652777777777778)",-0.1027777777777778,0.2652777777777778
"While this law, which is an unequivocal act of war on the commerce of the nations it attacks, continues in force those nations can see in the French Government only a power regardless of their essential rights, of their independence and sovereignty; and if they possess the means they can reconcile nothing with their interest and honor but a firm resistance.","Sentiment(polarity=-0.05, subjectivity=0.42500000000000004)",-0.05,0.425
"Hitherto, therefore, nothing is discoverable in the conduct of France which ought to change or relax our measures of defense.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"On the contrary, to extend and invigorate them is our true policy.","Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65
"We have no reason to regret that these measures have been thus far adopted and pursued, and in proportion as we enlarge our view of the portentous and incalculable situation of Europe we shall discover new and cogent motives for the full development of our energies and resources.","Sentiment(polarity=0.14659090909090908, subjectivity=0.6761363636363635)",0.14659090909090908,0.6761363636363635
But in demonstrating by our conduct that we do not fear war in the necessary protection of our rights and honor we shall give no room to infer that we abandon the desire of peace.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
