sentence,sentiment,polarity,subjectivity
"
To the Senate and House of Representatives of the United States:
An appalling calamity has befallen the American people since their chosen representatives last met in the halls where you are now assembled.","Sentiment(polarity=-0.11666666666666665, subjectivity=0.32222222222222224)",-0.11666666666666665,0.32222222222222224
We might else recall with unalloyed content the rare prosperity with which throughout the year the nation has been blessed.,"Sentiment(polarity=0.3, subjectivity=0.9)",0.3,0.9
Its harvests have been plenteous; its varied industries have thriven; the health of its people has been preserved; it has maintained with foreign governments the undisturbed relations of amity and peace.,"Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125
For these manifestations of His favor we owe to Him who holds our destiny in His hands the tribute of our grateful devotion.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
To that mysterious exercise of His will which has taken from us the loved and illustrious citizen who was but lately the head of the nation we bow in sorrow and submission.,"Sentiment(polarity=0.13333333333333333, subjectivity=0.7999999999999999)",0.13333333333333333,0.7999999999999999
"The memory of his exalted character, of his noble achievements, and of his patriotic life will be treasured forever as a sacred possession of the whole people.","Sentiment(polarity=0.4, subjectivity=0.65)",0.4,0.65
The announcement of his death drew from foreign governments and peoples tributes of sympathy and sorrow which history will record as signal tokens of the kinship of nations and the federation of mankind.,"Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125
The feeling of good will between our own Government and that of Great Britain was never more marked than at present.,"Sentiment(polarity=0.32499999999999996, subjectivity=0.5750000000000001)",0.325,0.5750000000000001
"In recognition of this pleasing fact I directed, on the occasion of the late centennial celebration at Yorktown, that a salute be given to the British flag.","Sentiment(polarity=-0.15, subjectivity=0.3)",-0.15,0.3
"Save for the correspondence to which I shall refer hereafter in relation to the proposed canal across the Isthmus of Panama, little has occurred worthy of mention in the diplomatic relations of the two countries.","Sentiment(polarity=0.07291666666666666, subjectivity=0.75)",0.07291666666666666,0.75
"Early in the year the Fortune Bay claims were satisfactorily settled by the British Government paying in full the sum of 15,000 pounds, most of which has been already distributed.","Sentiment(polarity=0.2375, subjectivity=0.3375)",0.2375,0.3375
"As the terms of the settlement included compensation for injuries suffered by our fishermen at Aspee Bay, there has been retained from the gross award a sum which is deemed adequate for those claims.","Sentiment(polarity=0.16666666666666666, subjectivity=0.16666666666666666)",0.16666666666666666,0.16666666666666666
"The participation of Americans in the exhibitions at Melbourne and Sydney will be approvingly mentioned in the reports of the two exhibitions, soon to be presented to Congress.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
They will disclose the readiness of our countrymen to make successful competition in distant fields of enterprise.,"Sentiment(polarity=0.325, subjectivity=0.6499999999999999)",0.325,0.6499999999999999
Negotiations for an international copyright convention are in hopeful progress.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The surrender of Sitting Bull and his forces upon the Canadian frontier has allayed apprehension, although bodies of British Indians still cross the border in quest of sustenance.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Upon this subject a correspondence has been opened which promises an adequate understanding.,"Sentiment(polarity=0.08333333333333333, subjectivity=0.3333333333333333)",0.08333333333333333,0.3333333333333333
Our troops have orders to avoid meanwhile all collisions with alien Indians.,"Sentiment(polarity=-0.25, subjectivity=0.75)",-0.25,0.75
The presence at the Yorktown celebration of representatives of the French Republic and descendants of Lafayette and of his gallant compatriots who were our allies in the Revolution has served to strengthen the spirit of good will which has always existed between the two nations.,"Sentiment(polarity=0.35, subjectivity=0.30000000000000004)",0.35,0.30000000000000004
You will be furnished with the proceedings of the Bimetallic Conference held during the summer at the city of Paris.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"No accord was reached, but a valuable interchange of views was had, and the conference will next year be renewed.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"At the Electrical Exhibition and Congress, also held at Paris, this country was creditably represented by eminent specialists, who, in the absence of an appropriation, generously lent their efficient aid at the instance of the State Department.","Sentiment(polarity=-0.0125, subjectivity=0.0)",-0.0125,0.0
"While our exhibitors in this almost distinctively American field of achievement have won several valuable awards, I recommend that Congress provide for the repayment of the personal expenses incurred in the public interest by the honorary commissioners and delegates.","Sentiment(polarity=0.0, subjectivity=0.09166666666666666)",0.0,0.09166666666666666
"No new questions respecting the status of our naturalized citizens in Germany have arisen during the year, and the causes of complaint, especially in Alsace and Lorraine, have practically ceased through the liberal action of the Imperial Government in accepting our often-expressed views on the subject.","Sentiment(polarity=-0.08696969696969696, subjectivity=0.4175757575757576)",-0.08696969696969696,0.4175757575757576
