sentence,sentiment,polarity,subjectivity
"
To the Congress of the United States:
Tonight's State of the Union Address concentrates on this year's highest priorities�a strong energy bill; a coordinated economic program of job creation, tax reduction, tax reform and anti-inflation measures; making the government more effective and efficient; maintaining the peace through a strong national defense; and ratifying both the Panama Canal Treaties and, if completed, the SALT II treaty.","Sentiment(polarity=0.4333333333333333, subjectivity=0.5933333333333334)",0.43,0.59
It is important that the Congress and the Nation also understand what our other important initiatives and goals will be for 1978.,"Sentiment(polarity=0.225, subjectivity=0.7916666666666666)",0.23,0.79
"I am therefore sending to Congress this separate, more detailed State of the Union Message, which describes Administration priorities in the areas not fully covered in the Address.","Sentiment(polarity=0.45, subjectivity=0.625)",0.45,0.63
"DOMESTIC AFFAIRS
A number of serious domestic problems faced the Nation when I took office one year ago.","Sentiment(polarity=-0.1111111111111111, subjectivity=0.28888888888888886)",-0.11,0.29
The economy had not yet fully recovered from the recession; our country had no sound energy policy; the Federal government was operating inefficiently and ineffectively in many areas; concerns about the openness and integrity of our government remained in the aftermath of Watergate; and many of our most pressing social problems had not been addressed.,"Sentiment(polarity=0.2666666666666667, subjectivity=0.3933333333333333)",0.27,0.39
"In 1977, my Administration did not solve all of those problems.","Sentiment(polarity=0.0, subjectivity=0.0)",0.00,0.00
"But Congress joined us in tackling many of these issues, and together we made progress.","Sentiment(polarity=0.5, subjectivity=0.5)",0.50,0.50
"Now that a year has passed, I believe we are a more confident people, with more trust in our institutions.","Sentiment(polarity=0.5, subjectivity=0.6111111111111112)",0.50,0.61
"We are a country on the move again, prepared to address our problems with boldness and confidence, at home and abroad.","Sentiment(polarity=0.0, subjectivity=0.0)",0.00,0.00
We have reasserted our concern for the problems of people here at home and reaffirmed our position of moral leadership in the world.,"Sentiment(polarity=0.0, subjectivity=0.25)",0.00,0.25
"This year, my domestic goals will continue to reflect those concerns that guided my actions in 1977: restoring economic prosperity; meeting our Nation's human needs; making the government more efficient and more responsive; and developing and protecting our natural resources.","Sentiment(polarity=0.21666666666666667, subjectivity=0.3)",0.22,0.30
"RESTORING ECONOMIC PROSPERITY
I am devoting a substantial part of my State of the Union Address to the need for a comprehensive economic program, and I will devote the bulk of my Economic Report to Congress, to be delivered tomorrow, to a complete description of my Administration's economic goals and objectives.","Sentiment(polarity=0.18000000000000002, subjectivity=0.24)",0.18,0.24
"In this Message, therefore, I will not repeat those statements but I want to set forth briefly the key elements of those proposals:
�a $23 billion income tax cut in 1979, with $17 billion going to individuals and their families and $6 billion going to businesses;
�a tax reform program designed to make our tax laws fairer and simpler;
�an anti-inflation program, designed to reduce annual increases in wages and prices, with the cooperation of labor and business and with the Federal government setting an example; reductions of $2 billion in excise and payroll taxes will also make a contribution to reducing inflation;
�an extension of the funding for 725,000 public service (CETA) jobs, and a $700 million increase in spending for our youth employment efforts;
�a major new $400 million private sector jobs initiative, designed primarily to encourage businesses to hire unemployed minorities and youth.","Sentiment(polarity=0.08555194805194806, subjectivity=0.46136363636363636)",0.09,0.46
I plan to work very closely with Congress to secure prompt action on these economic proposals.,"Sentiment(polarity=0.22500000000000003, subjectivity=0.3)",0.23,0.30
Their adoption will help achieve the kind of economic prosperity for our Nation that all of us want.,"Sentiment(polarity=0.4, subjectivity=0.55)",0.40,0.55
"Along with a sound energy bill, enactment of these economic proposals will be my highest domestic priority for 1978.","Sentiment(polarity=0.20000000000000004, subjectivity=0.23333333333333336)",0.20,0.23
"ENERGY
There can be no higher priority than prompt enactment of comprehensive energy legislation along the lines submitted to the Congress last spring.","Sentiment(polarity=-0.0625, subjectivity=0.2833333333333333)",-0.06,0.28
"Huge oil price increases in 1973-74 contributed to the double-digit inflation of 1974, and to the worst recession in 40 years.","Sentiment(polarity=-0.29999999999999993, subjectivity=0.95)",-0.30,0.95
