sentence,sentiment,polarity,subjectivity
"
To the Congress of the United States:
As representatives of the people in the legislative branch of their Government, you have assembled at a time when the strength and excellence of our free institutions and the fitness of our citizens to enjoy popular rule have been again made manifest.","Sentiment(polarity=0.4666666666666666, subjectivity=0.7333333333333334)",0.4666666666666666,0.7333333333333334
"A political contest involving momentous consequences, fraught with feverish apprehension, and creating aggressiveness so intense as to approach bitterness and passion has been waged throughout our land and determined by the decree of free and independent suffrage without disturbance of our tranquillity or the least sign of weakness in our national structure.","Sentiment(polarity=0.03333333333333333, subjectivity=0.47083333333333327)",0.03333333333333333,0.4708333333333333
"When we consider these incidents and contemplate the peaceful obedience and manly submission which have succeeded a heated clash of political opinions, we discover abundant evidence of a determination on the part of our countrymen to abide by every verdict of the popular will and to be controlled at all times by an abiding faith in the agencies established for the direction of the affairs of their Government.","Sentiment(polarity=0.3625, subjectivity=0.6124999999999999)",0.3625,0.6124999999999999
Thus our people exhibit a patriotic disposition which entitles them to demand of those who undertake to make and execute their laws such faithful and unselfish service in their behalf as can only be prompted by a serious appreciation of the trust and confidence which the acceptance of public duty invites.,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.5583333333333333)",-0.08333333333333333,0.5583333333333333
"In obedience to a constitutional requirement I herein submit to the Congress certain information concerning national affairs, with the suggestion of such legislation as in my judgment is necessary and expedient.","Sentiment(polarity=0.07142857142857142, subjectivity=0.6904761904761904)",0.07142857142857142,0.6904761904761904
"To secure brevity and avoid tiresome narration I shall omit many details concerning matters within Federal control which, though by no means unimportant, are more profitably discussed in departmental reports.","Sentiment(polarity=0.1, subjectivity=0.71)",0.1,0.71
"I shall also further curtail this communication by omitting a minute recital of many minor incidents connected with our foreign relations which have heretofore found a place in Executive messages, but are now contained in a report of the Secretary of State, which is herewith submitted.","Sentiment(polarity=0.08125, subjectivity=0.33125)",0.08125,0.33125
"At the outset of a reference to the more important matters affecting our relations with foreign powers it would afford me satisfaction if I could assure the Congress that the disturbed condition in Asiatic Turkey had during the past year assumed a less hideous and bloody aspect and that, either as a consequence of the awakening of the Turkish Government to the demands of humane civilization or as the result of decisive action on the part of the great nations having the right by treaty to interfere for the protection of those exposed to the rage of mad bigotry and cruel fanaticism, the shocking features of the situation had been mitigated.","Sentiment(polarity=-0.15674603174603174, subjectivity=0.6022817460317461)",-0.15674603174603174,0.6022817460317461
"Instead, however, of welcoming a softened disposition or protective intervention, we have been afflicted by continued and not unfrequent reports of the wanton destruction of homes and the bloody butchery of men, women, and children, made martyrs to their profession of Christian faith.","Sentiment(polarity=-0.4, subjectivity=0.45)",-0.4,0.45
"While none of our citizens in Turkey have thus far been killed or wounded, though often in the midst of dreadful scenes of danger, their safety in the future is by no means assured.","Sentiment(polarity=-0.275, subjectivity=0.53125)",-0.275,0.53125
"Our Government at home and our minister at Constantinople have left nothing undone to protect our missionaries in Ottoman territory, who constitute nearly all the individuals residing there who have a right to claim our protection on the score of American citizenship.","Sentiment(polarity=0.09642857142857142, subjectivity=0.23392857142857143)",0.09642857142857142,0.23392857142857146
Our efforts in this direction will not be relaxed; but the deep feeling and sympathy that have been aroused among our people ought not to so far blind their reason and judgment as to lead them to demand impossible things.,"Sentiment(polarity=-0.1933333333333333, subjectivity=0.7333333333333333)",-0.1933333333333333,0.7333333333333333
