sentence,sentiment,polarity,subjectivity
"
Mr. President, Mr. Speaker, Members of the 104th Congress, my fellow Americans: Again we are here in the sanctuary of democracy, and once again our democracy has spoken.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"So let me begin by congratulating all of you here in the 104th Congress and congratulating you, Mr. Speaker.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"If we agree on nothing else tonight, we must agree that the American people certainly voted for change in 1992 and in 1994.","Sentiment(polarity=0.10714285714285714, subjectivity=0.2857142857142857)",0.10714285714285714,0.2857142857142857
"And as I look out at you, I know how some of you must have felt in 1992.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"[Laughter]
I must say that in both years we didn't hear America singing, we heard America shouting.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"And now all of us, Republicans and Democrats alike, must say, ""We hear you.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We will work together to earn the jobs you have given us.""","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"For we are the keepers of a sacred trust, and we must be faithful to it in this new and very demanding era.","Sentiment(polarity=0.16818181818181818, subjectivity=0.37727272727272726)",0.16818181818181818,0.3772727272727273
"Over 200 years ago, our Founders changed the entire course of human history by joining together to create a new country based on a single powerful idea: ""We hold these truths to be self-evident, that all men are created equal, .","Sentiment(polarity=0.06082251082251081, subjectivity=0.4406385281385281)",0.06082251082251081,0.4406385281385281
.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"endowed by their Creator with certain unalienable Rights, and among these are Life, Liberty and the pursuit of Happiness.""","Sentiment(polarity=0.45714285714285713, subjectivity=0.3857142857142857)",0.4571428571428571,0.3857142857142857
"It has fallen to every generation since then to preserve that idea, the American idea, and to deepen and expand its meaning in new and different times: to Lincoln and to his Congress to preserve the Union and to end slavery; to Theodore Roosevelt and Woodrow Wilson to restrain the abuses and excesses of the industrial revolution and to assert our leadership in the world; to Franklin Roosevelt to fight the failure and pain of the Great Depression and to win our country's great struggle against fascism; and to all our Presidents since to fight the cold war.","Sentiment(polarity=0.2024621212121212, subjectivity=0.5318181818181817)",0.2024621212121212,0.5318181818181817
"Especially, I recall two who struggled to fight that cold war in partnership with Congresses where the majority was of a different party: to Harry Truman, who summoned us to unparalleled prosperity at home and who built the architecture of the cold war; and to Ronald Reagan, whom we wish well tonight and who exhorted us to carry on until the twilight struggle against communism was won.","Sentiment(polarity=-0.3, subjectivity=0.9)",-0.3,0.9
"In another time of change and challenge, I had the honor to be the first President to be elected in the post-cold-war era, an era marked by the global economy, the information revolution, unparalleled change and opportunity and insecurity for the American people.","Sentiment(polarity=0.0875, subjectivity=0.23333333333333334)",0.0875,0.2333333333333333
"I came to this hallowed Chamber 2 years ago on a mission, to restore the American dream for all our people and to make sure that we move into the 21st century still the strongest force for freedom and democracy in the entire world.","Sentiment(polarity=0.125, subjectivity=0.3784722222222222)",0.125,0.3784722222222222
I was determined then to tackle the tough problems too long ignored.,"Sentiment(polarity=-0.21944444444444444, subjectivity=0.6166666666666667)",-0.21944444444444444,0.6166666666666667
"In this effort I am frank to say that I have made my mistakes, and I have learned again the importance of humility in all human endeavor.","Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1
But I am also proud to say tonight that our country is stronger than it was 2 years ago.,"Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1.0
[Applause] Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Record numbers of Americans are succeeding in the new global economy.,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.06818181818181818,0.2272727272727273
"We are at peace, and we are a force for peace and freedom throughout the world.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We have almost 6 million new jobs since I became President, and we have the lowest combined rate of unemployment and inflation in 25 years.","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
Our businesses are more productive.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"And here we have worked to bring the deficit down, to expand trade, to put more police on our streets, to give our citizens more of the tools they need to get an education and to rebuild their own communities.","Sentiment(polarity=0.3611111111111111, subjectivity=0.5722222222222222)",0.3611111111111111,0.5722222222222222
But the rising tide is not lifting all boats.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"While our Nation is enjoying peace and prosperity, too many of our people are still working harder and harder, for less and less.","Sentiment(polarity=0.07777777777777779, subjectivity=0.20555555555555557)",0.07777777777777779,0.2055555555555556
