sentence,sentiment,polarity,subjectivity
"
Since the close of the last Congress the Nation has lost President Harding.","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666668
"The world knew his kindness and his humanity, his greatness and his character.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
He has left his mark upon history.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
He has made justice more certain and peace more secure.,"Sentiment(polarity=0.4035714285714286, subjectivity=0.5428571428571428)",0.4035714285714286,0.5428571428571428
The surpassing tribute paid to his memory as he was borne across the continent to rest at last at home revealed the place lie held in the hearts of the American people.,"Sentiment(polarity=0.0, subjectivity=0.03333333333333333)",0.0,0.03333333333333333
But this is not the occasion for extended reference to the man or his work.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In this presence, among these who knew and loved him, that is unnecessary.","Sentiment(polarity=0.14999999999999997, subjectivity=0.8500000000000001)",0.14999999999999994,0.8500000000000001
"But we who were associated with him could not resume together the functions of our office without pausing for a moment, and in his memory reconsecrating ourselves to the service of our country.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
He is gone.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We remain.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It is our duty, under the inspiration of his example, to take up the burdens which he was permitted to lay down, and to develop and support the wise principles of government which he represented.","Sentiment(polarity=0.2722222222222222, subjectivity=0.5944444444444444)",0.2722222222222222,0.5944444444444444
"FOREIGN AFFAIRS
For us peace reigns everywhere.","Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125
We desire to perpetuate it always by granting full justice to others and requiring of others full justice to ourselves.,"Sentiment(polarity=0.35, subjectivity=0.55)",0.35,0.55
Our country has one cardinal principle to maintain in its foreign policy.,"Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125
It is an American principle.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
It must be an American policy.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
