sentence,sentiment,polarity,subjectivity
"
[Read before a joint session by a clerk of the House of Representatives]
To the Congress of the United States:
The opening of this new year must arouse in us all grateful thanks to a kind Providence whose protection has been ever present and whose bounty has been manifold and abundant.","Sentiment(polarity=0.30727272727272725, subjectivity=0.500909090909091)",0.30727272727272725,0.500909090909091
"The State of the Union today demonstrates what can be accomplished under God by a free people; by their vision, their understanding of national problems, their initiative, their self-reliance, their capacity for work--and by their willingness to sacrifice whenever sacrifice is needed.","Sentiment(polarity=0.30000000000000004, subjectivity=0.65)",0.30000000000000004,0.65
"In the past three years, responding to what our people want their Government to do, the Congress and the Executive have done much in building a stronger, better America.","Sentiment(polarity=0.15, subjectivity=0.31666666666666665)",0.15,0.31666666666666665
"There has been broad progress in fostering the energies of our people, in providing greater opportunity for the satisfaction of their need, s, and in fulfilling their demands for the strength and security of the Republic.","Sentiment(polarity=0.28125, subjectivity=0.40625)",0.28125,0.40625
Our country is at peace.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Our security posture commands respect.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
A spiritual vigor marks our national life.,"Sentiment(polarity=0.0, subjectivity=0.13333333333333333)",0.0,0.13333333333333333
"Our economy, approaching the 400 billion dollar mark, is at an unparalleled level of prosperity.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The national income is more widely and fairly distributed than ever before.,"Sentiment(polarity=0.3666666666666667, subjectivity=0.6)",0.3666666666666667,0.6
The number of Americans at work has reached an all-time high.,"Sentiment(polarity=0.16, subjectivity=0.5399999999999999)",0.16,0.5399999999999999
"As a people, we are achieving ever higher standards of living--earning more, producing more, consuming more, building more and investing more than ever before.","Sentiment(polarity=0.4583333333333333, subjectivity=0.5)",0.4583333333333333,0.5
Virtually all sectors of our society are sharing in these good times.,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
"Our farm families, if we act wisely, imaginatively and promptly to strengthen our present farm programs, can also look forward to sharing equitably in the prosperity they have helped to create.","Sentiment(polarity=0.3, subjectivity=0.35)",0.3,0.35
War in Korea ended two and a half years ago.,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.16666666666666666)",-0.16666666666666666,0.16666666666666666
The collective security system has been powerfully strengthened.,"Sentiment(polarity=0.3, subjectivity=1.0)",0.3,1.0
Our defenses have been reinforced at sharply reduced costs.,"Sentiment(polarity=-0.125, subjectivity=0.75)",-0.125,0.75
Programs to expand world trade and to harness the atom for the betterment of mankind have been carried forward.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Our economy has been freed from governmental wage and price controls.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Inflation has been halted; the cost of living stabilized.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Government spending has been cut by more than ten billion dollars.,"Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25
Nearly three hundred thousand positions have been eliminated from the Federal payroll.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4
Taxes have been substantially reduced.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
A balanced budget is in prospect.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Social security has been extended to ten million more Americans and unemployment insurance to four million more.,"Sentiment(polarity=0.2583333333333333, subjectivity=0.26666666666666666)",0.2583333333333333,0.26666666666666666
Unprecedented advances in civil rights have been made.,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9
The long-standing and deep-seated problems of agriculture have been forthrightly attacked.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"This record of progress has been accomplished with a self imposed caution against unnecessary and unwise interference in the private affairs of our people, of their communities and of the several States.","Sentiment(polarity=-0.05, subjectivity=0.44375)",-0.05,0.44375
"If we of the Executive and Legislative Branches, keeping this caution ever in mind, address ourselves to the business of the year before us--and to the unfinished business of last year--with resolution, the outlook is bright with promise.","Sentiment(polarity=0.35000000000000003, subjectivity=0.4333333333333333)",0.35000000000000003,0.4333333333333333
"Many measures of great national importance recommended last year to the Congress still demand immediate attention legislation for school and highway construction; health and immigration legislation; water resources legislation; legislation to complete the implementation of our foreign economic policy; such labor legislation as amendments of the Labor-Management Relations Act, extension of the Fair Labor Standards Act to additional groups not now covered, and occupational safety legislation; and legislation for construction of an atomic-powered exhibit vessel.","Sentiment(polarity=0.271875, subjectivity=0.43020833333333336)",0.271875,0.43020833333333336
"Many new items of business likewise require our attention-measures that will further promote the release of the energies of our people; that will broaden opportunity for all of them; that will advance the Republic in its leadership toward a just peace; measures, in short, that are essential to the building of an everstronger, ever-better America.","Sentiment(polarity=0.12727272727272726, subjectivity=0.41090909090909095)",0.12727272727272726,0.41090909090909095
Every political and economic guide supports a valid confidence that wise effort will be rewarded by an even more plentiful harvest of human benefit than we now enjoy.,"Sentiment(polarity=0.3, subjectivity=0.38333333333333336)",0.3,0.38333333333333336
"Our resources are too many, our principles too dynamic, our purposes too worthy and the issues at stake too immense for us to entertain doubt or fear.","Sentiment(polarity=0.20833333333333331, subjectivity=0.6666666666666666)",0.2083333333333333,0.6666666666666666
But our responsibilities require that we approach this year's business with a sober humility.,"Sentiment(polarity=0.1, subjectivity=0.2)",0.1,0.2
"A heedless pride in our present strength and position would blind us to the facts of the past, to the pitfalls of the future.","Sentiment(polarity=-0.1875, subjectivity=0.26041666666666663)",-0.1875,0.26041666666666663
"We must walk ever in the knowledge that we are enriched by a heritage earned in the labor and sacrifice of our forebears; that, for our children's children, we are trustees of a great Republic and a time-tested political system; that we prosper as a cooperating member of the family of nations.","Sentiment(polarity=0.4, subjectivity=0.425)",0.4,0.425
"In this light the Administration has continued work on its program for the Republic, begun three years ago.","Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7
Because the.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"vast spread of national and human interests is involved within it, I shall not in this Message attempt its detailed delineation.","Sentiment(polarity=0.13333333333333333, subjectivity=0.6166666666666667)",0.13333333333333333,0.6166666666666667
"Instead, from time to time during this Session, there will be submitted to the Congress specific recommendations within specific fields.","Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125
"In the comprehensive survey required for their preparation, the Administration is guided by enduring objectives.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The first is:
THE DISCHARGE OF OUR WORLD RESPONSIBILITY
Our world policy and our actions are dedicated to the achievement of peace with justice for all nations.","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333
"With this purpose, we move in a wide variety of ways and through many agencies to remove the pall of fear; to strengthen the ties with our partners and to improve the cooperative cohesion of the free world; to reduce the burden of armaments, and to stimulate and inspire action among all nations for a world of justice and prosperity and peace.","Sentiment(polarity=0.225, subjectivity=0.45000000000000007)",0.225,0.4500000000000001
These national objectives are fully supported by both our political parties.,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1
"In the past year, our search for a more stable and just peace has taken varied forms.","Sentiment(polarity=0.125, subjectivity=0.375)",0.125,0.375
"Among the most important were the two Conferences at Geneva, in July and in the fall of last year.","Sentiment(polarity=0.3, subjectivity=0.5222222222222223)",0.3,0.5222222222222223
We explored the possibilities of agreement on critical issues that jeopardize the peace.,"Sentiment(polarity=0.0, subjectivity=0.8)",0.0,0.8
"The July meeting of Heads of Government held out promise to the world of moderation in the bitterness, of word and action, which tends to generate conflict and war.","Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1
All were in agreement that a nuclear war would be an intolerable disaster which must not be permitted to occur.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"But in October, when the Foreign Ministers met again, the results demonstrated conclusively that the Soviet leaders are not yet willing to create the indispensable conditions for a secure and lasting peace.","Sentiment(polarity=0.185, subjectivity=0.475)",0.185,0.475
"Nevertheless, it is clear that the conflict between international communism and freedom has taken on a new complexion.","Sentiment(polarity=0.0787878787878788, subjectivity=0.2792929292929293)",0.0787878787878788,0.2792929292929293
We know the Communist leaders have often practiced the tactics of retreat and zigzag.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We know that Soviet and Chinese communism still poses a serious threat to the free world.,"Sentiment(polarity=0.022222222222222237, subjectivity=0.48888888888888893)",0.02222222222222224,0.4888888888888889
And in the Middle East recent Soviet moves are hardly compatible with the reduction of international tension.,"Sentiment(polarity=-0.07291666666666667, subjectivity=0.19791666666666666)",-0.07291666666666667,0.19791666666666666
"Yet Communist tactics against the free nations have shifted in emphasis from reliance on violence and the threat of violence to reliance on division, enticement and duplicity.","Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8
We must be well prepared to meet the current tactics which pose a dangerous though less obvious threat.,"Sentiment(polarity=-0.19166666666666665, subjectivity=0.4666666666666667)",-0.19166666666666665,0.4666666666666667
"At the same time, our policy must be dynamic as well as flexible, designed primarily to forward the achievement of our own objectives rather than to meet each shift and change on the Communist front.","Sentiment(polarity=0.25, subjectivity=0.44791666666666663)",0.25,0.4479166666666666
We must act in the firm assurance that the fruits of freedom are more attractive and desirable to mankind in the pursuit of happiness than the record of Communism.,"Sentiment(polarity=0.45, subjectivity=0.525)",0.45,0.525
"In the face of Communist military power, we must, of course, continue to maintain an effective system of collective security.","Sentiment(polarity=0.25, subjectivity=0.45)",0.25,0.45
"This involves two things--a system which gives clear warning that armed aggression will be met by joint action of the free nations, and deterrent military power to make that warning effective.","Sentiment(polarity=0.22000000000000003, subjectivity=0.4366666666666667)",0.22000000000000006,0.4366666666666667
"Moreover, the awesome power of the atom must be made to serve as a guardian of the free community and of the peace.","Sentiment(polarity=0.7, subjectivity=0.9)",0.7,0.9
"In the last year, the free world has seen major gains for the system of collective security: the accession to the North Atlantic Treaty Organization and Western European Union of the sovereign Federal German Republic; the developing cooperation under the Southeast Asia Collective Defense Treaty; and the formation in the Middle East of the Baghdad Pact among Turkey, Iraq, Iran, Pakistan and the United Kingdom.","Sentiment(polarity=0.06607142857142857, subjectivity=0.19523809523809524)",0.06607142857142857,0.19523809523809524
"In our own hemisphere, the inter-American system has continued to show its vitality in maintaining peace and a common approach to world problems.","Sentiment(polarity=0.15, subjectivity=0.75)",0.15,0.75
We now have security pacts with more than 40 other nations.,"Sentiment(polarity=0.1875, subjectivity=0.4375)",0.1875,0.4375
"In the pursuit of our national purposes, we have been steadfast in our support of the United Nations, now entering its second decade with a wider membership and ever-increasing influence and usefulness.","Sentiment(polarity=0.2, subjectivity=0.4)",0.2,0.4
"In the release of our fifteen fliers from Communist China, an essential prelude was the world opinion mobilized by the General Assembly, which condemned their imprisonment and demanded their liberation.","Sentiment(polarity=0.02500000000000001, subjectivity=0.4)",0.02500000000000001,0.4
The successful Atomic Energy Conference held in Geneva under United Nations auspices and our Atoms for Peace program have been practical steps toward the world-wide use of this new energy source.,"Sentiment(polarity=0.4431818181818182, subjectivity=0.7022727272727273)",0.4431818181818182,0.7022727272727273
Our sponsorship of such use has benefited our relations with other countries.,"Sentiment(polarity=-0.0625, subjectivity=0.4375)",-0.0625,0.4375
Active negotiations are now in progress to create an International Agency to foster peaceful uses of atomic energy.,"Sentiment(polarity=0.03888888888888889, subjectivity=0.3666666666666667)",0.03888888888888889,0.3666666666666667
During the past year the crucial problem of disarmament has moved to the forefront of practical political endeavor.,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.45)",-0.08333333333333333,0.45
"At Geneva, I declared the readiness of the United States to exchange blueprints of the military establishments of our nation and the USSR, to be confirmed by reciprocal aerial reconnaissance.","Sentiment(polarity=0.15000000000000002, subjectivity=0.55)",0.15000000000000002,0.55
"By this means, I felt mutual suspicions could be allayed and an atmosphere developed in which negotiations looking toward limitation of arms would have improved chances of success.","Sentiment(polarity=0.2, subjectivity=0.15)",0.2,0.15
"In the United Nations Subcommittee on Disarmament last fall, this proposal was explored and the United States also declared itself willing to include reciprocal ground inspection of key points.","Sentiment(polarity=0.08333333333333333, subjectivity=0.6055555555555555)",0.08333333333333333,0.6055555555555555
"By the overwhelming vote of 56 to 7, the United Nations on December 16 endorsed these proposals and gave them a top priority.","Sentiment(polarity=0.5, subjectivity=0.75)",0.5,0.75
"Thereby, the issue is placed squarely before the bar of world opinion.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We shall persevere in seeking a general reduction of armaments under effective inspection and control which are essential safeguards to ensure reciprocity and protect the security of all.,"Sentiment(polarity=0.21666666666666667, subjectivity=0.5333333333333333)",0.21666666666666667,0.5333333333333333
In the coming year much remains to be done.,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2
"While maintaining our military deterrent, we must intensify our efforts to achieve a just peace.","Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1
In Asia we shall continue to give help to nations struggling to maintain their freedom against the threat of Communist coercion or subversion.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
In Europe we shall endeavor to increase not only the military strength of the North Atlantic Alliance but also its political cohesion and unity of purpose.,"Sentiment(polarity=-0.03333333333333333, subjectivity=0.4000000000000001)",-0.03333333333333333,0.4000000000000001
"We shall give such assistance as is feasible to the recently renewed effort of Western European nations to achieve a greater measure of integration, such as in the field of peaceful uses of atomic energy.","Sentiment(polarity=0.10714285714285714, subjectivity=0.32142857142857145)",0.10714285714285714,0.32142857142857145
"In the Near East we shall spare no effort in seeking to promote a fair solution of the tragic dispute between the Arab States and Israel, all of whom we want as our friends.","Sentiment(polarity=0.016666666666666646, subjectivity=0.6833333333333332)",0.016666666666666646,0.6833333333333332
The United States is ready to do its part to assure enduring peace in that area.,"Sentiment(polarity=0.2, subjectivity=0.5)",0.2,0.5
We hope that both sides will make the contributions necessary to achieve that purpose.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
"In Latin America, we shall continue to cooperate vigorously in trade and other measures designed to assist economic progress in the area.","Sentiment(polarity=0.037500000000000006, subjectivity=0.2875)",0.037500000000000006,0.2875
Strong economic ties are an essential element in our free world partnership.,"Sentiment(polarity=0.2583333333333333, subjectivity=0.5083333333333333)",0.2583333333333333,0.5083333333333333
Increasing trade and investment help all of us prosper together.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Gratifying progress has been made in this direction, most recently by the three-year extension of our trade agreements legislation.","Sentiment(polarity=0.25, subjectivity=0.375)",0.25,0.375
"I most earnestly request that the Congress approve our membership in the Organization for Trade Cooperation, which would assist the carrying out of the General Agreement on Tariffs and Trade to which we have been a party since 1948.","Sentiment(polarity=0.275, subjectivity=0.5)",0.275,0.5
Our membership in the OTC will provide the most effective and expeditious means for removing discriminations and restrictions against American exports and in making our trade agreements truly reciprocal.,"Sentiment(polarity=0.3666666666666667, subjectivity=0.43333333333333335)",0.3666666666666667,0.43333333333333335
United States membership in the Organization will evidence our continuing desire to cooperate in promoting an expanded trade among the free nations.,"Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8
"Thus the Organization, as proposed, is admirably suited to our own interests and to those of like-minded nations in working for steady expansion of trade and closer economic cooperation.","Sentiment(polarity=0.3222222222222222, subjectivity=0.5666666666666667)",0.3222222222222222,0.5666666666666667
"Being strictly an administrative entity, the Organization for Trade Cooperation cannot, of course, alter the control by Congress of the tariff, import, and customs policies of the United States.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We need to encourage investment overseas by avoiding unfair tax duplications, and to foster foreign trade by further simplification and improvement of our customs legislation.","Sentiment(polarity=-0.20833333333333334, subjectivity=0.5416666666666666)",-0.20833333333333331,0.5416666666666666
We must sustain and fortify our Mutual Security Program.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Because the conditions of poverty and unrest in less developed areas make their people a special target of international communism, there is a need to help them achieve the economic growth and stability necessary to preserve their independence against communist threats and enticements.","Sentiment(polarity=0.08174603174603175, subjectivity=0.35634920634920636)",0.08174603174603175,0.3563492063492064
"In order that our friends may better achieve the greater strength that is our common goal, they need assurance of continuity in economic assistance for development projects and programs which we approve and which require a period of years for planning and completion.","Sentiment(polarity=0.22499999999999998, subjectivity=0.425)",0.225,0.425
"Accordingly, I ask Congress to grant limited authority to make longer-term commitments for assistance to such projects, to be fulfilled from appropriations to be made in future fiscal years.","Sentiment(polarity=-0.023809523809523808, subjectivity=0.25595238095238093)",-0.023809523809523808,0.2559523809523809
These various steps will powerfully strengthen the economic foundation of our foreign policy.,"Sentiment(polarity=0.09375, subjectivity=0.45625)",0.09375,0.45625
"Together with constructive action abroad, they will maintain the present momentum toward general economic progress and vitality of the free world.","Sentiment(polarity=0.15, subjectivity=0.32)",0.15,0.32
"In all things, change is the inexorable law of life.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
In much of the world the ferment of change is working strongly; but grave injustices are still uncorrected.,"Sentiment(polarity=0.31666666666666665, subjectivity=0.4666666666666667)",0.31666666666666665,0.4666666666666667
"We must not, by any sanction of ours, help to perpetuate these wrongs.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"I have particularly in mind the oppressive division of the German people, the bondage of millions elsewhere, and the exclusion of Japan from United Nations membership.","Sentiment(polarity=0.08333333333333333, subjectivity=0.16666666666666666)",0.08333333333333333,0.16666666666666666
We shall keep these injustices in the forefront of human consciousness and seek to maintain the pressure of world opinion to fight these vast wrongs in the interest both of justice and secure peace.,"Sentiment(polarity=0.13333333333333333, subjectivity=0.5666666666666668)",0.13333333333333333,0.5666666666666668
Injustice thrives on ignorance.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Because an understanding of the truth about America is one of our most powerful forces, I am recommending a substantial increase in budgetary support of the United States Information Agency.","Sentiment(polarity=0.4, subjectivity=0.75)",0.4,0.75
"The sum of our international effort should be this: the waging of peace, with as much resourcefulness, with as great a sense of dedication and urgency, as we have ever mustered in defense of our country in time of war.","Sentiment(polarity=0.3333333333333333, subjectivity=0.31666666666666665)",0.3333333333333333,0.31666666666666665
"In this effort, our weapon is not force.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Our weapons are the principles and ideas embodied in our historic traditions, applied with the same vigor that in the past made America a living promise of freedom for all mankind.","Sentiment(polarity=-0.08333333333333333, subjectivity=0.125)",-0.08333333333333333,0.125
"To accomplish these vital tasks, all of us should be concerned with the strength, effectiveness and morale .of our State Department and our Foreign Service.","Sentiment(polarity=-0.012499999999999997, subjectivity=0.2625)",-0.012499999999999995,0.2625
"Another guide in the preparation of the Administration's program is:
THE CONSTANT IMPROVEMENT OF OUR NATIONAL SECURITY
Because peace is the keystone of our national policy, our defense program emphasizes an effective flexible type of power calculated to deter or repulse any aggression and to preserve the peace.","Sentiment(polarity=0.3, subjectivity=0.5666666666666667)",0.3,0.5666666666666667
"Short of war, we have never had military strength better adapted to our needs with improved readiness for emergency use.","Sentiment(polarity=0.13333333333333333, subjectivity=0.3)",0.13333333333333333,0.3
The maintenance of this strong military capability for the indefinite future will continue to call for a large share of our national budget.,"Sentiment(polarity=0.1369047619047619, subjectivity=0.34672619047619047)",0.1369047619047619,0.3467261904761905
Our military programs must meet the needs of today.,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1
To build less would expose the nation to aggression.,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.06666666666666667)",-0.16666666666666666,0.06666666666666668
"To build excessively, under the influence of fear, could defeat our purposes and impair or destroy the very freedom and economic system our military defenses are designed to protect.","Sentiment(polarity=-0.03, subjectivity=0.32)",-0.03,0.32
"We have improved the effectiveness and combat readiness of our forces by developing and making operational new weapons and by integrating the latest scientific developments, including new atomic weapons, into our military plans.","Sentiment(polarity=0.16818181818181818, subjectivity=0.4772727272727273)",0.16818181818181818,0.4772727272727273
We continue to push the production of the most modern military aircraft.,"Sentiment(polarity=0.19999999999999998, subjectivity=0.3)",0.2,0.3
The development of long-range missiles has been on an accelerated basis for some time.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We are moving as rapidly as practicable toward nuclear-powered aircraft and ships.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Combat capability, especially in terms of firepower, has been substantially increased.","Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
"We have made the adjustments in personnel permitted by the cessation of the Korean War, the buildup of our allies and the introduction of new weapons.","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
The services are all planning realistically on a long-term basis.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"To strengthen our continental defenses the United States and Canada, in the closest cooperation, have substantially augmented early warning networks.","Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3
"Great progress is being made in extending surveillance of the Arctic, the Atlantic and the Pacific approaches to North America.","Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"In the last analysis our real strength lies in the caliber of the men and women in our Armed Forces, active and Reserve.","Sentiment(polarity=0.022222222222222227, subjectivity=0.32222222222222224)",0.022222222222222227,0.32222222222222224
"Much has been done to attract and hold capable military personnel, but more needs to be done.","Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",0.2,0.30000000000000004
"This year, I renew my request of last year for legislation to provide proper medical care for military dependents and a more equitable survivors' benefit program.","Sentiment(polarity=0.08, subjectivity=0.15333333333333335)",0.08,0.15333333333333335
"The Administration will prepare additional recommendations designed to achieve the same objectives, including career incentives for medical and dental officers and nurses, and increases in the proportion of regular officers.","Sentiment(polarity=0.0, subjectivity=0.0673076923076923)",0.0,0.0673076923076923
Closely related to the mission of the Defense Department is the task of the Federal Civil Defense Administration.,"Sentiment(polarity=0.0, subjectivity=0.4)",0.0,0.4
"A particular point of relationship arises from the fact that the key to civil defense is the expanded continental defense program, including the distant early warning system.","Sentiment(polarity=0.041666666666666664, subjectivity=0.4958333333333333)",0.04166666666666666,0.4958333333333333
"Our Federal civil defense authorities have made progress in their program, and now comprehensive studies are being conducted jointly by the Federal Civil Defense Administration, the States, and critical target cities to determine the best procedures that can be adopted in case of an atomic attack.","Sentiment(polarity=0.5, subjectivity=0.55)",0.5,0.55
We must strengthen Federal assistance to the States and cities in devising the most effective common defense.,"Sentiment(polarity=0.26666666666666666, subjectivity=0.6)",0.26666666666666666,0.6
We have a broad and diversified mobilization base.,"Sentiment(polarity=-0.36875, subjectivity=0.65625)",-0.36875,0.65625
"We have the facilities, materials, skills and knowledge rapidly to expand the production of things we need for our defense whenever they are required.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
But mobilization base requirements change with changing technology and strategy.,"Sentiment(polarity=-0.8, subjectivity=1.0)",-0.8,1.0
We must maintain flexibility to meet new requirements.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
"I am requesting, therefore, that the Congress once again extend the Defense Production Act.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
