sentence,sentiment,polarity,subjectivity
"
Mr. President, Mr. Speaker, Senators and Representatives in Congress:
I COME before you at the opening of the Regular Session of the 73d Congress, not to make requests for special or detailed items of legislation; I come, rather, to counsel with you, who, like myself, have been selected to carry out a mandate of the whole people, in order that without partisanship you and I may cooperate to continue the restoration of our national wellbeing and, equally important, to build on the ruins of the past a new structure designed better to meet the present problems of modern civilization.","Sentiment(polarity=0.1630460448642267, subjectivity=0.4093542820815548)",0.1630460448642267,0.4093542820815548
Such a structure includes not only the relations of industry and agriculture and finance to each other but also the effect which all of these three have on our individual citizens and on the whole people as a Nation.,"Sentiment(polarity=0.015000000000000003, subjectivity=0.5349999999999999)",0.015000000000000003,0.5349999999999999
"Now that we are definitely in the process of recovery, lines have been rightly drawn between those to whom this recovery means a return to old methods�and the number of these people is small�and those for whom recovery means a reform of many old methods, a permanent readjustment of many of our ways of thinking and therefore of many of our social and economic arrangements.","Sentiment(polarity=0.24656084656084656, subjectivity=0.3558201058201058)",0.24656084656084656,0.3558201058201058
.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Civilization cannot go back; civilization must not stand still.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We have undertaken new methods.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
"It is our task to perfect, to improve, to alter when necessary, but in all cases to go forward.","Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1.0
"To consolidate what we are doing, to make our economic and social structure capable of dealing with modern life is the joint task of the legislative, the judicial, and the executive branches of the national Government.","Sentiment(polarity=0.15833333333333333, subjectivity=0.2416666666666667)",0.15833333333333333,0.2416666666666667
"Without regard to party, the overwhelming majority of our people seek a greater opportunity for humanity to prosper and find happiness.","Sentiment(polarity=0.5666666666666667, subjectivity=0.5666666666666667)",0.5666666666666667,0.5666666666666667
"They recognize that human welfare has not increased and does not increase through mere materialism and luxury, but that it does progress through integrity, unselfishness, responsibility and justice.","Sentiment(polarity=-0.25, subjectivity=0.3)",-0.25,0.3
"In the past few months, as a result of our action, we have demanded of many citizens that they surrender certain licenses to do as they please, in their business relationships; but we have asked this in exchange for the protection which the State can give against exploitation by their fellow men or by combinations of their fellow men.","Sentiment(polarity=0.07285714285714287, subjectivity=0.30428571428571427)",0.07285714285714287,0.3042857142857143
"I congratulate this Congress upon the courage, the earnestness and the efficiency with which you met the crisis at the Special Session.","Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)",0.35714285714285715,0.5714285714285714
It was your fine understanding of the national problem that furnished the example which the country has so splendidly followed.,"Sentiment(polarity=0.625, subjectivity=0.75)",0.625,0.75
I venture to say that the task confronting the First Congress of 1789 was no greater than your own.,"Sentiment(polarity=0.19999999999999998, subjectivity=0.611111111111111)",0.2,0.6111111111111109
"I shall not attempt to set forth either the many phases of the crisis which we experienced last March, or the many measures which you and I undertook during the Special Session that we might initiate recovery and reform.","Sentiment(polarity=0.4314285714285714, subjectivity=0.5076190476190476)",0.4314285714285714,0.5076190476190476
It is sufficient that I should speak in broad terms of the results of our common counsel.,"Sentiment(polarity=-0.11875, subjectivity=0.40625)",-0.11875,0.40625
The credit of the Government has been fortified by drastic reduction in the cost of its permanent agencies through the Economy Act.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"With the twofold purpose of strengthening the whole financial structure and of arriving eventually at a medium of exchange which over the years will have less variable purchasing and debt paying power for our people than that of the past, I have used the authority granted me to purchase all American-produced gold and silver and to buy additional gold in the world markets.","Sentiment(polarity=-0.05416666666666666, subjectivity=0.17916666666666667)",-0.05416666666666666,0.17916666666666667
Careful investigation and constant study prove that in the matter of foreign exchange rates certain of our sister Nations find themselves so handicapped by internal and other conditions that they feel unable at this time to enter into stabilization discussion based on permanent and world-wide objectives.,"Sentiment(polarity=-0.09081632653061224, subjectivity=0.4149659863945578)",-0.09081632653061224,0.4149659863945578
"The overwhelming majority of the banks, both national and State, which reopened last spring, are in sound condition and have been brought within the protection of Federal insurance.","Sentiment(polarity=0.3, subjectivity=0.48888888888888893)",0.3,0.4888888888888889
"In the case of those banks which were not permitted to reopen, nearly six hundred million dollars of frozen deposits are being restored to the depositors through the assistance of the national Government.","Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4
