sentence,sentiment,polarity,subjectivity
"
Fellow-Citizens of the Senate and of the House of Representatives:
The brief space which has elapsed since the close of your last session has been marked by no extraordinary political event.","Sentiment(polarity=-0.01333333333333333, subjectivity=0.42000000000000004)",-0.013333333333333329,0.42
The quadrennial election of Chief Magistrate has passed off with less than the usual excitement.,"Sentiment(polarity=-0.20833333333333331, subjectivity=0.15833333333333333)",-0.2083333333333333,0.15833333333333333
"However individuals and parties may have been disappointed in the result, it is, nevertheless, a subject of national congratulation that the choice has been effected by the independent suffrages of a free people, undisturbed by those influences which in other countries have too often affected the purity of popular elections.","Sentiment(polarity=-0.006944444444444438, subjectivity=0.5472222222222222)",-0.006944444444444438,0.5472222222222222
"Our grateful thanks are due to an all-merciful Providence, not only for staying the pestilence which in different forms has desolated some of our cities, but for crowning the labors of the husbandman with an abundant harvest and the nation generally with the blessings of peace and prosperity.","Sentiment(polarity=0.12083333333333335, subjectivity=0.6041666666666666)",0.12083333333333335,0.6041666666666666
"Within a few weeks the public mind has been deeply affected by the death of Daniel Webster, filling at his decease the office of Secretary of State.","Sentiment(polarity=-0.06666666666666667, subjectivity=0.18888888888888888)",-0.06666666666666668,0.18888888888888888
His associates in the executive government have sincerely sympathized with his family and the public generally on this mournful occasion.,"Sentiment(polarity=0.18333333333333335, subjectivity=0.35555555555555557)",0.18333333333333332,0.3555555555555556
"His commanding talents, his great political and professional eminence, his well-tried patriotism, and his long and faithful services in the most important public trusts have caused his death to be lamented throughout the country and have earned for him a lasting place in our history.","Sentiment(polarity=0.21875, subjectivity=0.36458333333333337)",0.21875,0.36458333333333337
In the course of the last summer considerable anxiety was caused for a short time by an official intimation from the Government of Great Britain that orders had been given for the protection of the fisheries upon the coasts of the British provinces in North America against the alleged encroachments of the fishing vessels of the United States and France.,"Sentiment(polarity=0.13333333333333333, subjectivity=0.2777777777777778)",0.13333333333333333,0.2777777777777778
The shortness of this notice and the season of the year seemed to make it a matter of urgent importance.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
It was at first apprehended that an increased naval force had been ordered to the fishing grounds to carry into effect the British interpretation of those provisions in the convention of 1818 in reference to the true intent of which the two Governments differ.,"Sentiment(polarity=0.19999999999999998, subjectivity=0.3277777777777778)",0.2,0.3277777777777778
"It was soon discovered that such was not the design of Great Britain, and satisfactory explanations of the real objects of the measure have been given both here and in London.","Sentiment(polarity=0.3333333333333333, subjectivity=0.5166666666666667)",0.3333333333333333,0.5166666666666667
"The unadjusted difference, however, between the two Governments as to the interpretation of the first article of the convention of 1818 is still a matter of importance.","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333
