sentence,sentiment,polarity,subjectivity
"
Mr. Speaker, Mr. Vice President, Members of the 95th Congress, and distinguished guests:
In accordance with the Constitution, I come before you once again to report on the state of the Union.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"This report will be my last--maybe--[laughter]--but for the Union it is only the first of such reports in our third century of independence, the close of which none of us will ever see.","Sentiment(polarity=0.0625, subjectivity=0.4583333333333333)",0.0625,0.4583333333333333
"We can be confident, however, that 100 years from now a freely elected President will come before a freely elected Congress chosen to renew our great Republic's pledge to the Government of the people, by the people, and for the people.","Sentiment(polarity=0.525, subjectivity=0.7958333333333334)",0.525,0.7958333333333334
"For my part I pray the third century we are beginning will bring to all Americans, our children and their children's children, a greater measure of individual equality, opportunity, and justice, a greater abundance of spiritual and material blessings, and a higher quality of life, liberty, and the pursuit of happiness.","Sentiment(polarity=0.2785714285714286, subjectivity=0.3190476190476191)",0.2785714285714286,0.3190476190476191
"The state of the Union is a measurement of the many elements of which it is composed--a political union of diverse States, an economic union of varying interests, an intellectual union of common convictions, and a moral union of immutable ideals.","Sentiment(polarity=0.11666666666666665, subjectivity=0.325)",0.11666666666666665,0.325
"Taken in sum, I can report that the state of the Union is good.","Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
"There is room for improvement, as always, but today we have a more perfect Union than when my stewardship began.","Sentiment(polarity=0.75, subjectivity=0.75)",0.75,0.75
"As a people we discovered that our Bicentennial was much more than a celebration of the past; it became a joyous reaffirmation of all that it means to be Americans, a confirmation before all the world of the vitality and durability of our free institutions.","Sentiment(polarity=0.21666666666666667, subjectivity=0.5166666666666667)",0.21666666666666667,0.5166666666666667
"I am proud to have been privileged to preside over the affairs of our Federal Government during these eventful years when we proved, as I said in my first words upon assuming office, that ""our Constitution works; our great Republic is a Government of laws and not of men.","Sentiment(polarity=0.6166666666666667, subjectivity=0.6944444444444443)",0.6166666666666667,0.6944444444444443
"Here the people rule.""","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The people have spoken; they have chosen a new President and a new Congress to work their will.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
I congratulate you--particularly the new Members--as sincerely as I did President-elect Carter.,"Sentiment(polarity=0.3181818181818182, subjectivity=0.4772727272727273)",0.3181818181818182,0.4772727272727273
In a few days it will be his duty to outline for you his priorities and legislative recommendations.,"Sentiment(polarity=-0.2, subjectivity=0.1)",-0.2,0.1
"Tonight I will not infringe on that responsibility, but rather wish him the very best in all that is good for our country.","Sentiment(polarity=0.85, subjectivity=0.49500000000000005)",0.85,0.4950000000000001
"During the period of my own service in this Capitol and in the White House, I can recall many orderly transitions of governmental responsibility--of problems as well as of position, of burdens as well as of power.","Sentiment(polarity=0.3666666666666667, subjectivity=0.5)",0.3666666666666667,0.5
The genius of the American system is that we do this so naturally and so normally.,"Sentiment(polarity=0.08333333333333333, subjectivity=0.3499999999999999)",0.08333333333333333,0.3499999999999999
"There are no soldiers marching in the street except in the Inaugural Parade; no public demonstrations except for some of the dancers at the Inaugural Ball; the opposition party doesn't go underground, but goes on functioning vigorously in the Congress and in the country; and our vigilant press goes right on probing and publishing our faults and our follies, confirming the wisdom of the framers of the first amendment.","Sentiment(polarity=0.07142857142857142, subjectivity=0.2922619047619047)",0.07142857142857142,0.2922619047619047
"Because of the transfer of authority in our form of government affects the state of the Union and of the world, I am happy to report to you that the current transition is proceeding very well.","Sentiment(polarity=0.3333333333333333, subjectivity=0.5666666666666667)",0.3333333333333333,0.5666666666666667
I was determined that it should; I wanted the new President to get off on an easier start than I had.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
"When I became President on August 9, 1974, our Nation was deeply divided and tormented.","Sentiment(polarity=0.0, subjectivity=0.4)",0.0,0.4
In rapid succession the Vice President and the President had resigned in disgrace.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We were still struggling with the after-effects of a long, unpopular, and bloody war in Southeast Asia.","Sentiment(polarity=-0.42500000000000004, subjectivity=0.65)",-0.425,0.65
The economy was unstable and racing toward the worst recession in 40 years.,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0
People were losing jobs.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The cost of living was soaring.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The Congress and the Chief Executive were at loggerheads.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The integrity of our constitutional process and other institutions was being questioned.,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375
"For more than 15 years domestic spending had soared as Federal programs multiplied, and the expense escalated annually.","Sentiment(polarity=0.25, subjectivity=0.3)",0.25,0.3
During the same period our national security needs were steadily shortchanged.,"Sentiment(polarity=0.08333333333333333, subjectivity=0.3125)",0.08333333333333333,0.3125
"In the grave situation which prevailed in August 1974, our will to maintain our international leadership was in doubt.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
I asked for your prayers and went to work.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
In January 1975 I reported to the Congress that the state of the Union was not good.,"Sentiment(polarity=-0.35, subjectivity=0.6000000000000001)",-0.35,0.6000000000000001
I proposed urgent action to improve the economy and to achieve energy independence in 10 years.,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1
I reassured America's allies and sought to reduce the danger of confrontation with potential adversaries.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
I pledged a new direction for America.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
"1975 was a year of difficult decisions, but Americans responded with realism, common sense, and self-discipline.","Sentiment(polarity=-0.4, subjectivity=0.75)",-0.4,0.75
"By January 1976 we were headed in a new direction, which I hold to be the right direction for a free society.","Sentiment(polarity=0.274025974025974, subjectivity=0.5967532467532467)",0.274025974025974,0.5967532467532467
"It was guided by the belief that successful problem-solving requires more than Federal action alone, that it involves a full partnership among all branches and all levels of government and public policies which nurture and promote the creative energies of private enterprises, institutions, and individual citizens.","Sentiment(polarity=0.275, subjectivity=0.49270833333333336)",0.275,0.4927083333333334
A year ago I reported that the state of the Union was better--in many ways a lot better--but still not good enough.,"Sentiment(polarity=0.05000000000000001, subjectivity=0.5333333333333333)",0.05000000000000001,0.5333333333333333
"Common sense told me to stick to the steady course we were on, to continue to restrain the inflationary growth of government, to reduce taxes as well as spending, to return local decisions to local officials, to provide for long-range sufficiency in energy and national security needs.","Sentiment(polarity=-0.03333333333333333, subjectivity=0.25)",-0.03333333333333333,0.25
I resisted the immense pressures of an election year to open the floodgates of Federal money and the temptation to promise more than I could deliver.,"Sentiment(polarity=0.16666666666666666, subjectivity=0.6666666666666666)",0.16666666666666666,0.6666666666666666
"I told it as it was to the American people and demonstrated to the world that in our spirited political competition, as in this chamber, Americans can disagree without being disagreeable.","Sentiment(polarity=0.16666666666666666, subjectivity=0.3666666666666667)",0.16666666666666666,0.3666666666666667
"Now, after 30 months as your President, I can say that while we still have a way to go, I am proud of the long way we have come together.","Sentiment(polarity=0.375, subjectivity=0.7)",0.375,0.7
"I am proud of the part I have had in rebuilding confidence in the Presidency, confidence in our free system, and confidence in our future.","Sentiment(polarity=0.4000000000000001, subjectivity=0.6416666666666667)",0.4000000000000001,0.6416666666666667
"Once again, Americans believe in themselves, in their leaders, and in the promise that tomorrow holds for their children.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
I am proud that today America is at peace.,"Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1.0
None of our sons are fighting and dying in battle anywhere in the world.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
And the chance for peace among all nations is improved by our determination to honor our vital commitments in defense of peace and freedom.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4
"I am proud that the United States has strong defenses, strong alliances, and a sound and courageous foreign policy.","Sentiment(polarity=0.38833333333333336, subjectivity=0.5983333333333334)",0.38833333333333336,0.5983333333333334
"Our alliances with major partners, the great industrial democracies of Western Europe, Japan, and Canada, have never been more solid.","Sentiment(polarity=0.2725, subjectivity=0.37)",0.2725,0.37
"Consultations on mutual security, defense, and East-West relations have grown closer.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
