sentence,sentiment,polarity,subjectivity
"
Thank you very much.","Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26
"Mr. Speaker, Vice President Cheney, Members of Congress, distinguished guests, fellow citizens: As we gather tonight, our Nation is at war; our economy is in recession; and the civilized world faces unprecedented dangers.","Sentiment(polarity=0.5, subjectivity=0.9)",0.5,0.9
"Yet, the state of our Union has never been stronger.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We last met in an hour of shock and suffering.,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666668
"In 4 short months, our Nation has comforted the victims, begun to rebuild New York and the Pentagon, rallied a great coalition, captured, arrested, and rid the world of thousands of terrorists, destroyed Afghanistan's terrorist training camps, saved a people from starvation, and freed a country from brutal oppression.","Sentiment(polarity=0.0153409090909091, subjectivity=0.6261363636363636)",0.0153409090909091,0.6261363636363636
The American flag flies again over our Embassy in Kabul.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Terrorists who once occupied Afghanistan now occupy cells at Guantanamo Bay.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
And terrorist leaders who urged followers to sacrifice their lives are running for their own.,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
America and Afghanistan are now allies against terror.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We'll be partners in rebuilding that country.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"And this evening we welcomed the distinguished interim leader of a liberated Afghanistan, Chairman Hamid Karzai.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The last time we met in this Chamber, the mothers and daughters of Afghanistan were captives in their own homes, forbidden from working or going to school.","Sentiment(polarity=0.3, subjectivity=0.5333333333333333)",0.3,0.5333333333333333
"Today, women are free and are part of Afghanistan's new Government.","Sentiment(polarity=0.2681818181818182, subjectivity=0.6272727272727273)",0.2681818181818182,0.6272727272727273
"And we welcome the new Minister of Women's Affairs, Dr. Sima Samar.","Sentiment(polarity=0.4681818181818182, subjectivity=0.6772727272727272)",0.4681818181818182,0.6772727272727272
"Our progress is a tribute to the spirit of the Afghan people, to the resolve of our coalition, and to the might of the United States military.","Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1
"When I called our troops into action, I did so with complete confidence in their courage and skill.","Sentiment(polarity=0.1, subjectivity=0.25)",0.1,0.25
"And tonight, thanks to them, we are winning the war on terror.","Sentiment(polarity=0.35, subjectivity=0.475)",0.35,0.475
"The men and women of our Armed Forces have delivered a message now clear to every enemy of the United States: Even 7,000 miles away, across oceans and continents, on mountaintops and in caves, you will not escape the justice of this Nation.","Sentiment(polarity=0.10000000000000002, subjectivity=0.3833333333333333)",0.10000000000000002,0.3833333333333333
"For many Americans, these 4 months have brought sorrow and pain that will never completely go away.","Sentiment(polarity=0.225, subjectivity=0.45)",0.225,0.45
Every day a retired firefighter returns to Ground Zero to feel closer to his two sons who died there.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"At a memorial in New York, a little boy left his football with a note for his lost father: ""Dear Daddy, please take this to heaven.","Sentiment(polarity=-0.017045454545454548, subjectivity=0.3181818181818182)",-0.017045454545454548,0.3181818181818182
"I don't want to play football until I can play with you again some day.""","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Last month, at the grave of her husband, Micheal, a CIA officer and marine who died in Mazar-e-Sharif, Shannon Spann said these words of farewell, ""Semper Fi, my love.""","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333
Shannon is with us tonight.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Shannon, I assure you and all who have lost a loved one that our cause is just, and our country will never forget the debt we owe Micheal and all who gave their lives for freedom.","Sentiment(polarity=0.7, subjectivity=0.8)",0.7,0.8
"Our cause is just, and it continues.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Our discoveries in Afghanistan confirmed our worst fears and showed us the true scope of the task ahead.,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.8833333333333333)",-0.08333333333333333,0.8833333333333333
We have seen the depth of our enemies' hatred in videos where they laugh about the loss of innocent life.,"Sentiment(polarity=0.4, subjectivity=0.39999999999999997)",0.4,0.4
And the depth of their hatred is equaled by the madness of the destruction they design.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We have found diagrams of American nuclear powerplants and public water facilities, detailed instructions for making chemical weapons, surveillance maps of American cities, and thorough descriptions of landmarks in America and throughout the world.","Sentiment(polarity=0.1, subjectivity=0.20416666666666666)",0.1,0.20416666666666666
"What we have found in Afghanistan confirms that, far from ending there, our war against terror is only beginning.","Sentiment(polarity=0.05, subjectivity=1.0)",0.05,1.0
"Most of the 19 men who hijacked planes on September the 11th were trained in Afghanistan's camps, and so were tens of thousands of others.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"Thousands of dangerous killers, schooled in the methods of murder, often supported by outlaw regimes, are now spread throughout the world like ticking timebombs, set to go off without warning.","Sentiment(polarity=-0.6, subjectivity=0.9)",-0.6,0.9
"Thanks to the work of our law enforcement officials and coalition partners, hundreds of terrorists have been arrested.","Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2
"Yet, tens of thousands of trained terrorists are still at large.","Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)",0.21428571428571427,0.42857142857142855
