sentence,sentiment,polarity,subjectivity
"
To the Senate and House of Representatives:
In submitting my eighth and last annual message to Congress it seems proper that I should refer to and in some degree recapitulate the events and official acts of the past eight years.","Sentiment(polarity=-0.08333333333333333, subjectivity=0.1388888888888889)",-0.08333333333333333,0.1388888888888889
"It was my fortune, or misfortune, to be called to the office of Chief Executive without any previous political training.","Sentiment(polarity=-0.08333333333333333, subjectivity=0.13333333333333333)",-0.08333333333333333,0.13333333333333333
"From the age of 17 I had never even witnessed the excitement attending a Presidential campaign but twice antecedent to my own candidacy, and at but one of them was I eligible as a voter.","Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
Under such circumstances it is but reasonable to suppose that errors of judgment must have occurred.,"Sentiment(polarity=0.1, subjectivity=0.55)",0.1,0.55
"Even had they not, differences of opinion between the Executive, bound by an oath to the strict performance of his duties, and writers and debaters must have arisen.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
It is not necessarily evidence of blunder on the part of the Executive because there are these differences of views.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
"Mistakes have been made, as all can see and I admit, but it seems to me oftener in the selections made of the assistants appointed to aid in carrying out the various duties of administering the Government--in nearly every case selected without a personal acquaintance with the appointee, but upon recommendations of the representatives chosen directly by the people.","Sentiment(polarity=0.05, subjectivity=0.4)",0.05,0.4
"It is impossible, where so many trusts are to be allotted, that the right parties should be chosen in every instance.","Sentiment(polarity=0.03968253968253969, subjectivity=0.6785714285714285)",0.03968253968253969,0.6785714285714285
History shows that no Administration from the time of Washington to the present has been free from these mistakes.,"Sentiment(polarity=0.2, subjectivity=0.4)",0.2,0.4
"But I leave comparisons to history, claiming only that I have acted in every instance from a conscientious desire to do what was right, constitutional, within the law, and for the very best interests of the whole people.","Sentiment(polarity=0.3714285714285714, subjectivity=0.5814285714285714)",0.3714285714285714,0.5814285714285714
"Failures have been errors of judgment, not of intent.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"My civil career commenced, too, at a most critical and difficult time.","Sentiment(polarity=0.0, subjectivity=0.7666666666666666)",0.0,0.7666666666666666
"Less than four years before, the country had emerged from a conflict such as no other nation had ever survived.","Sentiment(polarity=-0.03472222222222222, subjectivity=0.3138888888888889)",-0.03472222222222222,0.3138888888888889
"Nearly one-half of the States had revolted against the Government, and of those remaining faithful to the Union a large percentage of the population sympathized with the rebellion and made an ""enemy in the rear"" almost as dangerous as the more honorable enemy in the front.","Sentiment(polarity=0.053571428571428575, subjectivity=0.5571428571428572)",0.053571428571428575,0.5571428571428572
"The latter committed errors of judgment, but they maintained them openly and courageously; the former received the protection of the Government they would see destroyed, and reaped all the pecuniary advantage to be gained out of the then existing state of affairs, many of them by obtaining contracts and by swindling the Government in the delivery of their goods.","Sentiment(polarity=0.125, subjectivity=0.25)",0.125,0.25
"Immediately on the cessation of hostilities the then noble President, who had carried the country so far through its perils, fell a martyr to his patriotism at the hands of an assassin.","Sentiment(polarity=0.35, subjectivity=0.95)",0.35,0.95
"The intervening time to my first inauguration was filled up with wranglings between Congress and the new Executive as to the best mode of ""reconstruction,"" or, to speak plainly, as to whether the control of the Government should be thrown immediately into the hands of those who had so recently and persistently tried to destroy it, or whether the victors should continue to have an equal voice with them in this control.","Sentiment(polarity=0.17150974025974028, subjectivity=0.3556277056277056)",0.17150974025974028,0.3556277056277056
"Reconstruction, as finally agreed upon, means this and only this, except that the late slave was enfranchised, giving an increase, as was supposed, to the Union-loving and Union-supporting votes.","Sentiment(polarity=-0.09999999999999999, subjectivity=0.8666666666666667)",-0.1,0.8666666666666667
"If free in the full sense of the word, they would not disappoint this expectation.","Sentiment(polarity=0.375, subjectivity=0.675)",0.375,0.675
"Hence at the beginning of my first Administration the work of reconstruction, much embarrassed by the long delay, virtually commenced.","Sentiment(polarity=0.13333333333333333, subjectivity=0.3111111111111111)",0.13333333333333333,0.3111111111111111
It was the work of the legislative branch of the Government.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"My province was wholly in approving their acts, which I did most heartily, urging the legislatures of States that had not yet done so to ratify the fifteenth amendment to the Constitution.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"The country was laboring under an enormous debt, contracted in the suppression of rebellion, and taxation was so oppressive as to discourage production.","Sentiment(polarity=0.0, subjectivity=0.9)",0.0,0.9
Another danger also threatened us--a foreign war.,"Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125
The last difficulty had to be adjusted and was adjusted without a war and in a manner highly honorable to all parties concerned.,"Sentiment(polarity=0.08, subjectivity=0.3033333333333333)",0.08,0.3033333333333333
"Taxes have been reduced within the last seven years nearly $300,000,000, and the national debt has been reduced in the same time over $435,000,000.","Sentiment(polarity=0.03333333333333333, subjectivity=0.19722222222222222)",0.03333333333333333,0.19722222222222224
"By refunding the 6 per cent bonded debt for bonds bearing 5 and 4 1/2 per cent interest, respectively, the annual interest has been reduced from over $130,000,000 in 1869 to but little over $100,000,000 in 1876.","Sentiment(polarity=-0.09375, subjectivity=0.3)",-0.09375,0.3
"The balance of trade has been changed from over $130,000,000 against the United States in 1869 to more than $120,000,000 in our favor in 1876.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"It is confidently believed that the balance of trade in favor of the United States will increase, not diminish, and that the pledge of Congress to resume specie payments in 1879 will be easily accomplished, even in the absence of much-desired further legislation on the subject.","Sentiment(polarity=0.10416666666666667, subjectivity=0.4333333333333334)",0.10416666666666667,0.4333333333333334
"A policy has been adopted toward the Indian tribes inhabiting a large portion of the territory of the United States which has been humane and has substantially ended Indian hostilities in the whole land except in a portion of Nebraska, and Dakota, Wyoming, and Montana Territories--the Black Hills region and approaches thereto.","Sentiment(polarity=0.08253968253968254, subjectivity=0.42063492063492064)",0.08253968253968254,0.42063492063492064
"Hostilities there have grown out of the avarice of the white man, who has violated our treaty stipulations in his search for gold.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The question might be asked why the Government has not enforced obedience to the terms of the treaty prohibiting the occupation of the Black Hills region by whites.,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.43333333333333335)",-0.16666666666666666,0.43333333333333335
"The answer is simple: The first immigrants to the Black Hills were removed by troops, but rumors of rich discoveries of gold took into that region increased numbers.","Sentiment(polarity=0.11458333333333334, subjectivity=0.46845238095238095)",0.11458333333333336,0.468452380952381
"Gold has actually been found in paying quantity, and an effort to remove the miners would only result in the desertion of the bulk of the troops that might be sent there to remove them.","Sentiment(polarity=0.0, subjectivity=0.55)",0.0,0.55
"All difficulty in this matter has, however, been removed--subject to the approval of Congress--by a treaty ceding the Black Hills and approaches to settlement by citizens.","Sentiment(polarity=-0.16666666666666666, subjectivity=0.43333333333333335)",-0.16666666666666666,0.43333333333333335
"The subject of Indian policy and treatment is so fully set forth by the Secretary of the Interior and the Commissioner of Indian Affairs, and my views so fully expressed therein, that I refer to their reports and recommendations as my own.","Sentiment(polarity=0.21666666666666667, subjectivity=0.6666666666666666)",0.21666666666666667,0.6666666666666666
The relations of the United States with foreign powers continue on a friendly footing.,"Sentiment(polarity=0.125, subjectivity=0.3125)",0.125,0.3125
"Questions have arisen from time to time in the foreign relations of the Government, but the United States have been happily free during the past year from the complications and embarrassments which have surrounded some of the foreign powers.","Sentiment(polarity=-0.024999999999999994, subjectivity=0.325)",-0.024999999999999998,0.325
The diplomatic correspondence submitted herewith contains information as to certain of the matters which have occupied the Government.,"Sentiment(polarity=0.21428571428571427, subjectivity=0.5714285714285714)",0.21428571428571427,0.5714285714285714
The cordiality which attends our relations with the powers of the earth has been plainly shown by the general participation of foreign nations in the exhibition which has just closed and by the exertions made by distant powers to show their interest in and friendly feelings toward the United States in the commemoration of the centennial of the nation.,"Sentiment(polarity=-0.019047619047619035, subjectivity=0.32202380952380955)",-0.01904761904761904,0.32202380952380955
"The Government and people of the United States have not only fully appreciated this exhibition of kindly feeling, but it may be justly and fairly expected that no small benefits will result both to ourselves and other nations from a better acquaintance, and a better appreciation of our mutual advantages and mutual wants.","Sentiment(polarity=0.21111111111111114, subjectivity=0.4749999999999999)",0.21111111111111114,0.4749999999999999
"Congress at its last session saw fit to reduce the amount usually appropriated for foreign intercourse by withholding appropriations for representatives of the United States in certain foreign countries and for certain consular officers, and by reducing the amounts usually appropriated for certain other diplomatic posts, and thus necessitating a change in the grade of the representatives.","Sentiment(polarity=0.016785714285714282, subjectivity=0.33059523809523805)",0.016785714285714282,0.33059523809523805
"For these reasons, immediately upon the passage of the bill making appropriations for the diplomatic and consular service for the present fiscal year, instructions were issued to the representatives of the United States at Bolivia, Ecuador, and Colombia, and to the consular officers for whom no appropriation had been made, to close their respective legations and consulates and cease from the performance of their duties; and in like manner steps were immediately taken to substitute charge's d'affaires for ministers resident in Portugal, Denmark, Greece, Switzerland, and Paraguay.","Sentiment(polarity=0.0, subjectivity=0.05)",0.0,0.05
"While thoroughly impressed with the wisdom of sound economy in the foreign service, as in other branches of the Government, I can not escape the conclusion that in some instances the withholding of appropriations will prove an expensive economy, and that the small retrenchment secured by a change of grade in certain diplomatic posts is not an adequate consideration for the loss of influence and importance which will attend our foreign representatives under this reduction.","Sentiment(polarity=0.0914021164021164, subjectivity=0.4477513227513228)",0.0914021164021164,0.4477513227513228
I am of the opinion that a reexamination of the subject will cause a change in some instances in the conclusions reached on these subjects at the last session of Congress.,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.19999999999999998)",-0.08333333333333333,0.2
"The Court of Commissioners of Alabama Claims, whose functions were continued by an act of the last session of Congress until the 1st day of January, 1877, has carried on its labors with diligence and general satisfaction.","Sentiment(polarity=0.02500000000000001, subjectivity=0.2833333333333333)",0.02500000000000001,0.2833333333333333
"By a report from the clerk of the court, transmitted herewith, bearing date November 14, 1876, it appears that within the time now allowed by law the court will have disposed of all the claims presented for adjudication.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
This report also contains a statement of the general results of the labors of the court to the date thereof.,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5
"It is a cause of satisfaction that the method adopted for the satisfaction of the classes of claims submitted to the court, which are of long standing and justly entitled to early consideration, should have proved successful and acceptable.","Sentiment(polarity=0.26666666666666666, subjectivity=0.5499999999999999)",0.26666666666666666,0.5499999999999999
"It is with satisfaction that I am enabled to state that the work of the joint commission for determining the boundary line between the United States and British possessions from the northwest angle of the Lake of the Woods to the Rocky Mountains, commenced in 1872, has been completed.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The final agreements of the commissioners, with the maps, have been duly signed, and the work of the commission is complete.","Sentiment(polarity=0.05, subjectivity=0.7)",0.05,0.7
"The fixing of the boundary upon the Pacific coast by the protocol of March 10, 1873, pursuant to the award of the Emperor of Germany by Article XXXIV of the treaty of Washington, with the termination of the work of this commission, adjusts and fixes the entire boundary between the United States and the British possessions, except as to the portion of territory ceded by Russia to the United States under the treaty of 1867.","Sentiment(polarity=0.0, subjectivity=0.3125)",0.0,0.3125
The work intrusted to the commissioner and the officers of the Army attached to the commission has been well and satisfactorily performed.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The original of the final agreement of the commissioners, signed upon the 29th of May, 1876, with the original official ""lists of astronomical stations observed,"" the original official ""list of monuments marking the international boundary line,"" and the maps, records, and general reports relating to the commission, have been deposited in the Department of State.","Sentiment(polarity=0.19583333333333333, subjectivity=0.625)",0.19583333333333333,0.625
"The official report of the commissioner on the part of the United States, with the report of the chief astronomer of the United States, will be submitted to Congress within a short time.","Sentiment(polarity=0.0, subjectivity=0.3)",0.0,0.3
I reserve for a separate communication to Congress a statement of the condition of the questions which lately arose with Great Britain respecting the surrender of fugitive criminals under the treaty of 1842.,"Sentiment(polarity=0.25, subjectivity=0.675)",0.25,0.675
"The Ottoman Government gave notice, under date of January 15, 1874, of its desire to terminate the treaty of 1862, concerning commerce and navigation, pursuant to the provisions of the twenty-second article thereof.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Under this notice the treaty terminated upon the 5th day of June, 1876.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
That Government has invited negotiations toward the conclusion of a new treaty.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
"By the act of Congress of March 23, 1874, the President was authorized, when he should receive satisfactory information that the Ottoman Government or that of Egypt had organized new tribunals likely to secure to citizens of the United States the same impartial justice enjoyed under the exercise of judicial functions by diplomatic and consular officers of the United States, to suspend the operation of the act of June 22, 1860, and to accept for citizens of the United States the jurisdiction of the new tribunals.","Sentiment(polarity=0.19545454545454546, subjectivity=0.5556818181818183)",0.19545454545454544,0.5556818181818183
"Satisfactory information having been received of the organization of such new tribunals in Egypt, I caused a proclamation to be issued upon the 27th of March last, suspending the operation of the act of June 22, 1860, in Egypt, according to the provisions of the act.","Sentiment(polarity=0.04545454545454545, subjectivity=0.34040404040404043)",0.04545454545454545,0.34040404040404043
A copy of the proclamation accompanies this message.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The United States has united with the other powers in the organization of these courts.,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375
"It is hoped that the jurisdictional questions which have arisen may be readily adjusted, and that this advance in judicial reform may be hindered by no obstacles.","Sentiment(polarity=0.008333333333333333, subjectivity=0.19999999999999998)",0.008333333333333333,0.2
"The necessary legislation to carry into effect the convention respecting commercial reciprocity concluded with the Hawaiian Islands in 1875 having been had, the proclamation to carry into effect the convention, as provided by the act approved August 15, 1876, was duly issued upon the 9th day of September last.","Sentiment(polarity=0.0, subjectivity=0.35555555555555557)",0.0,0.3555555555555556
A copy thereof accompanies this message.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The commotions which have been prevalent in Mexico for some time past, and which, unhappily, seem to be not yet wholly quieted, have led to complaints of citizens of the United States of injuries by persons in authority.","Sentiment(polarity=-0.425, subjectivity=0.575)",-0.425,0.575
"It is hoped, however, that these will ultimately be adjusted to the satisfaction of both Governments.","Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
The frontier of the United States in that quarter has not been exempt from acts of violence by citizens of one Republic on those of the other.,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375
"The frequency of these is supposed to be increased and their adjustment made more difficult by the considerable changes in the course of the lower part of the Rio Grande River, which river is a part of the boundary between the two countries.","Sentiment(polarity=0.03333333333333333, subjectivity=0.65)",0.03333333333333333,0.65
These changes have placed on either side of that river portions of land which by existing conventions belong to the jurisdiction of the Government on the opposite side of the river.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The subject of adjustment of this cause of difficulty is under consideration between the two Republics.,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.3333333333333333)",-0.16666666666666666,0.3333333333333333
"The Government of the United States of Colombia has paid the award in the case of the steamer Montijo, seized by authorities of that Government some years since, and the amount has been transferred to the claimants.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It is with satisfaction that I am able to announce that the joint commission for the adjustment of claims between the United States and Mexico under the convention of 1868, the duration of which has been several times extended, has brought its labors to a close.","Sentiment(polarity=0.25, subjectivity=0.3125)",0.25,0.3125
"From the report of the agent of the United States, which accompanies the papers transmitted herewith, it will be seen that within the time limited by the commission 1,017 claims on the part of citizens of the United States against Mexico were referred to the commission.","Sentiment(polarity=-0.07142857142857142, subjectivity=0.14285714285714285)",-0.07142857142857142,0.14285714285714285
"Of these claims 831 were dismissed or disallowed, and in 186 cases awards were made in favor of the claimants against the Mexican Republic, amounting in the aggregate to $4,125,622.20.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Within the same period 998 claims on the part of citizens of the Mexican Republic against the United States were referred to the commission.,"Sentiment(polarity=0.0, subjectivity=0.0625)",0.0,0.0625
"Of these claims 831 were dismissed or disallowed, and in 167 cases awards were made in favor of the claimants against the United States, amounting in the aggregate to $150,498.41.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"By the terms of the convention the amount of these awards is to be deducted from the amount awarded in favor of our citizens against Mexico, and the balance only to be paid by Mexico to the United States, leaving the United States to make provision for this proportion of the awards in favor of its Own citizens.","Sentiment(polarity=0.3, subjectivity=1.0)",0.3,1.0
I invite your attention to the legislation which will be necessary to provide for the payment.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
"In this connection I am pleased to be able to express the acknowledgments due to Sir Edward Thornton, the umpire of the commission, who has given to the consideration of the large number of claims submitted to him much time, unwearied patience, and that firmness and intelligence which are well known to belong to the accomplished representative of Great Britain, and which are likewise recognized by the representative in this country of the Republic of Mexico.","Sentiment(polarity=0.3270408163265306, subjectivity=0.5540816326530612)",0.3270408163265306,0.5540816326530612
Monthly payments of a very small part of the amount due by the Government of Venezuela to citizens of the United States on account of claims of the latter against that Government continue to be made with reasonable punctuality.,"Sentiment(polarity=-0.0625, subjectivity=0.37375)",-0.0625,0.37375
That Government has proposed to change the system which it has hitherto pursued in this respect by issuing bonds for part of the amount of the several claims.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The proposition, however, could not, it is supposed, properly be accepted, at least without the consent of the holders of certificates of the indebtedness of Venezuela.","Sentiment(polarity=-0.15, subjectivity=0.25)",-0.15,0.25
"These are so much dispersed that it would be difficult, if not impossible, to ascertain their disposition on the subject.","Sentiment(polarity=-0.03333333333333333, subjectivity=0.6333333333333334)",-0.03333333333333333,0.6333333333333334
In former messages I have called the attention of Congress to the necessity of legislation with regard to fraudulent naturalization and to the subject of expatriation and the election of nationality.,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.16666666666666666)",-0.08333333333333333,0.16666666666666666
"The numbers of persons of foreign birth seeking a home in the United States, the ease and facility with which the honest emigrant may, after the lapse of a reasonable time, become possessed of all the privileges of citizenship of the United States, and the frequent occasions which induce such adopted citizens to return to the country of their birth render the subject of naturalization and the safeguards which experience has proved necessary for the protection of the honest naturalized citizen of paramount importance.","Sentiment(polarity=0.15104166666666669, subjectivity=0.5822916666666667)",0.15104166666666669,0.5822916666666667
"The very simplicity in the requirements of law on this question affords opportunity for fraud, and the want of uniformity in the proceedings and records of the various courts and in the forms of the certificates of naturalization issued affords a constant source of difficulty.","Sentiment(polarity=0.06666666666666667, subjectivity=0.37777777777777777)",0.06666666666666668,0.37777777777777777
"I suggest no additional requirements to the acquisition of citizenship beyond those now existing, but I invite the earnest attention of Congress to the necessity and wisdom of some provisions regarding uniformity in the records and certificates, and providing against the frauds which frequently take place and for the vacating of a record of naturalization obtained in fraud.","Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3
"These provisions are needed in aid and for the protection of the honest citizen of foreign birth, and for the want of which he is made to suffer not infrequently.","Sentiment(polarity=0.2375, subjectivity=0.5125)",0.2375,0.5125
"The United States has insisted upon the right of expatriation, and has obtained, after a long struggle, an admission of the principle contended for by acquiescence therein on the part of many foreign powers and by the conclusion of treaties on that subject.","Sentiment(polarity=0.08880952380952382, subjectivity=0.3788095238095238)",0.08880952380952382,0.3788095238095238
"It is, however, but justice to the government to which such naturalized citizens have formerly owed allegiance, as well as to the United States, that certain fixed and definite rules should be adopted governing such cases and providing how expatriation may be accomplished.","Sentiment(polarity=0.07346938775510203, subjectivity=0.39591836734693875)",0.07346938775510202,0.3959183673469388
"While emigrants in large numbers become citizens of the United States, it is also true that persons, both native born and naturalized, once citizens of the United States, either by formal acts or as the effect of a series of facts and circumstances, abandon their citizenship and cease to be entitled to the protection of the United States, but continue on convenient occasions to assert a claim to protection in the absence of provisions on these questions.","Sentiment(polarity=0.18392857142857144, subjectivity=0.3595238095238095)",0.18392857142857144,0.3595238095238095
"And in this connection I again invite your attention to the necessity of legislation concerning the marriages of American citizens contracted abroad, and concerning the status of American women who may marry foreigners and of children born of American parents in a foreign country.","Sentiment(polarity=-0.03125, subjectivity=0.03125)",-0.03125,0.03125
"The delicate and complicated questions continually occurring with reference to naturalization, expatriation, and the status of such persons as I have above referred to induce me to earnestly direct your attention again to these subjects.","Sentiment(polarity=-0.14, subjectivity=0.58)",-0.14,0.58
"In like manner I repeat my recommendation that some means be provided for the hearing and determination of the just and subsisting claims of aliens upon the Government of the United States within a reasonable limitation, and of such as may hereafter arise.","Sentiment(polarity=0.1, subjectivity=0.55)",0.1,0.55
"While by existing provisions of law the Court of Claims may in certain cases be resorted to by an alien claimant, the absence of any general provisions governing all such cases and the want of a tribunal skilled in the disposition of such cases upon recognized fixed and settled principles, either provides no remedy in many deserving cases or compels a consideration of such claims by Congress or the executive department of the Government.","Sentiment(polarity=0.1547077922077922, subjectivity=0.48376623376623373)",0.1547077922077922,0.4837662337662337
"It is believed that other governments are in advance of the United States upon this question, and that the practice now adopted is entirely unsatisfactory.","Sentiment(polarity=-0.0625, subjectivity=0.5)",-0.0625,0.5
"Congress, by an act approved the 3d day of March, 1875, authorized the inhabitants of the Territory of Colorado to form a State government, with the name of the State of Colorado, and therein provided for the admission of said State, when formed, into the Union upon an equal footing with the original States.","Sentiment(polarity=0.1875, subjectivity=0.5)",0.1875,0.5
"A constitution having been adopted and ratified by the people of that State, and the acting governor having certified to me the facts as provided by said act, together with a copy of such constitution and ordinances as provided for in the said act, and the provisions of the said act of Congress having been duly complied with, I issued a proclamation upon the 1st of August, 1876, a copy of which is hereto annexed.","Sentiment(polarity=0.0, subjectivity=0.25)",0.0,0.25
"The report of the Secretary of War shows that the Army has been actively employed during the year in subduing, at the request of the Indian Bureau, certain wild bands of the Sioux Indian Nation and in preserving the peace at the South during the election.","Sentiment(polarity=0.06031746031746032, subjectivity=0.5238095238095237)",0.060317460317460325,0.5238095238095237
"The commission constituted under the act of July 24, 1876, to consider and report on the ""whole subject of the reform and reorganization of the Army"" met in August last, and has collected a large mass of statistics and opinions bearing on the subject before it.","Sentiment(polarity=0.016190476190476193, subjectivity=0.31238095238095237)",0.01619047619047619,0.3123809523809524
"These are now under consideration, and their report is progressing.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"I am advised, though, by the president of the commission that it will be impracticable to comply with the clause of the act requiring the report to be presented, through me, to Congress on the first day of this session, as there has not yet been time for that mature deliberation which the importance of the subject demands.","Sentiment(polarity=0.06111111111111111, subjectivity=0.25555555555555554)",0.06111111111111111,0.25555555555555554
"Therefore I ask that the time of making the report be extended to the 29th day of January, 1877.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In accordance with the resolution of August 15, 1876, the Army regulations prepared under the act of March 1, 1875, have not been promulgated, but are held until after the report of the above-mentioned commission shall have been received and acted on.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"By the act of August 15, 1876, the cavalry force of the Army was increased by 2,500 men, with the proviso that they should be discharged on the expiration of hostilities.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Under this authority the cavalry regiments have been strengthened, and a portion of them are now in the field pursuing the remnants of the Indians with whom they have been engaged during the summer.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The estimates of the War Department are made up on the basis of the number of men authorized by law, and their requirements as shown by years of experience, and also with the purpose on the part of the bureau officers to provide for all contingencies that may arise during the time for which the estimates are made.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
