sentence,sentiment,polarity,subjectivity
"
MEMBERS OF THE CONGRESS:
So many problems are calling for solution that a recital of all of them, in the face of the known limitations of a short session of Congress, would seem to lack sincerity of purpose.","Sentiment(polarity=0.25, subjectivity=0.4)",0.25,0.4
"It is four years since the World War ended, but the inevitable readjustment of the social and economic order is not more than barely begun.","Sentiment(polarity=0.006666666666666668, subjectivity=0.37333333333333335)",0.006666666666666668,0.37333333333333335
There is no acceptance of pre-war conditions anywhere in the world.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In a very general way humanity harbors individual wishes to go on with war-time compensation for production, with pre-war requirements in expenditure.","Sentiment(polarity=0.032500000000000015, subjectivity=0.525)",0.032500000000000015,0.525
"In short, everyone, speaking broadly, craves readjustment for everybody except himself, while there can be no just and permanent readjustment except when all participate.","Sentiment(polarity=0.03125, subjectivity=0.30625)",0.03125,0.30625
"The civilization which measured its strength of genius and the power of science and the resources of industries, in addition to testing the limits of man power and the endurance and heroism of men and women--that same civilization is brought to its severest test in restoring a tranquil order and committing humanity to the stable ways of peace.","Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125
"If the sober and deliberate appraisal of pre-war civilization makes it smee a worth-while inheritance, then with patience and good courage it will be preserved.","Sentiment(polarity=0.39999999999999997, subjectivity=0.4)",0.4,0.4
"There never again will be precisely the old order; indeed, I know of no one who thinks it to be desirable.","Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5
"For out of the old order came the war itself, and the new order, established and made secure, never will permit its recurrence.","Sentiment(polarity=0.21212121212121213, subjectivity=0.41818181818181815)",0.21212121212121213,0.41818181818181815
It is no figure of speech to say we have come to the test of Our civilization.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The world has been passing--is today passing through of a great crisis.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
The conduct of war itself is not more difficult than the solution of the problems which necessarily follow.,"Sentiment(polarity=-0.25, subjectivity=0.8333333333333334)",-0.25,0.8333333333333334
I am not speaking at this moment of the problem in its wider aspect of world rehabilitation or of international relationships.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The reference is to our own social, financial, and economic problems at home.","Sentiment(polarity=0.20833333333333331, subjectivity=0.31666666666666665)",0.2083333333333333,0.31666666666666665
"These things are not to be considered solely as problems apart from all international relationship, but every nation must be able to carry on for itself, else its international relationship will have scant importance.","Sentiment(polarity=0.16666666666666666, subjectivity=0.20833333333333334)",0.16666666666666666,0.20833333333333331
Doubtless our own people have emerged from the.,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
World War tumult less impaired than most belligerent powers; probably we have made larger progress toward reconstruction.,"Sentiment(polarity=0.11111111111111112, subjectivity=0.35555555555555557)",0.11111111111111112,0.3555555555555556
"Surely we have been fortunate in diminishing unemployment, and our industrial and business activities, which are the lifeblood of our material existence, have been restored as in no other reconstruction period of like length in the history of the world.","Sentiment(polarity=0.32083333333333336, subjectivity=0.6546296296296296)",0.32083333333333336,0.6546296296296296
"Had we escaped the coal and railway strikes, which had no excuse for their beginning and less justification for their delayed settlement, we should have done infinitely better.","Sentiment(polarity=0.11944444444444445, subjectivity=0.20555555555555557)",0.11944444444444445,0.2055555555555556
"But labor was insistent on holding to the war heights, and heedless forces of reaction sought the pre-war levels, and both were wrong.","Sentiment(polarity=-0.5, subjectivity=0.9)",-0.5,0.9
"In the folly of conflict our progress was hindered, and the heavy cost has not yet been fully estimated.","Sentiment(polarity=-0.2, subjectivity=0.3)",-0.2,0.3
There can be neither adjustment nor the penalty of the failure to readjust in which all do not somehow participate.,"Sentiment(polarity=-0.3166666666666667, subjectivity=0.3)",-0.3166666666666667,0.3
The railway strike accentuated the difficulty of the American farmer.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The first distress of readjustment came to the farmer, and it will not lie a readjustment fit to abide until he is relieved.","Sentiment(polarity=0.325, subjectivity=0.3666666666666667)",0.325,0.3666666666666667
The distress brought to the farmer does not affect him alone.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Agricultural ill fortune is a national ill fortune.,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0
"That one-fourth of our population which produces the food of the Republic and adds so largely to our export commerce must participate in the good fortunes of the Nation, else there is none worth retaining.","Sentiment(polarity=0.4047619047619047, subjectivity=0.37619047619047624)",0.4047619047619047,0.37619047619047613
Agriculture is a vital activity in our national life.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4
"In it we had our beginning, and its westward march with the star of the empire has reflected the growth of the Republic.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It has its vicissitudes which no legislation will prevent, its hardships for which no law can provide escape.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
But the Congress can make available to the farmer the financial facilities which have been built up under Government aid and supervision for other commercial and industrial enterprises.,"Sentiment(polarity=0.06875, subjectivity=0.19375)",0.06875,0.19375
"It may be done on the same solid fundamentals and make the vitally important agricultural industry more secure, and it must be done.","Sentiment(polarity=0.26, subjectivity=0.465)",0.26,0.465
This Congress already has taken cognizance of the misfortune which precipitate deflation brought to American agriculture.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Your measures of relief and the reduction of the Federal reserve discount rate undoubtedly saved the country from widespread disaster.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The very proof of helpfulness already given is the strongest argument for the permanent establishment of widened credits, heretofore temporarily extended through the War Finance Corporation.","Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3
"The Farm Loan Bureau, which already has proven its usefulness through the Federal land banks, may well have its powers enlarged to provide ample farm production credits as well as enlarged land credits.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It is entirely practical to create a division in the Federal land banks to deal with production credits, with the limitations of time so adjusted to the farm turnover as the Federal reserve system provides for the turnover in the manufacturing and mercantile world.","Sentiment(polarity=0.0, subjectivity=0.625)",0.0,0.625
"Special provision must be made for live-stock production credits, and the limit of land loans may be safely enlarged.","Sentiment(polarity=0.4285714285714286, subjectivity=0.5357142857142857)",0.4285714285714286,0.5357142857142857
"Various measures are pending before you, and the best judgment of Congress ought to be expressed in a prompt enactment at the present session.","Sentiment(polarity=0.3333333333333333, subjectivity=0.26666666666666666)",0.3333333333333333,0.26666666666666666
But American agriculture needs more than added credit facilities.,"Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25
"The credits will help to solve the pressing problems growing out of war-inflated land values and the drastic deflation of three years ago, but permanent and deserved agricultural good fortune depends on better and cheaper transportation.","Sentiment(polarity=0.6, subjectivity=0.55)",0.6,0.55
"Here is an outstanding problem, demanding the most rigorous consideration of the Congress and the country.","Sentiment(polarity=0.5, subjectivity=0.6875)",0.5,0.6875
It has to do with more than agriculture.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
It provides the channel for the flow of the country's commerce.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
But the farmer is particularly hard hit.,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)",-0.2916666666666667,0.5416666666666666
"His market, so affected by the world consumption, does not admit of the price adjustment to meet carrying charges.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In the last half of the year now closing the railways, broken in carrying capacity because of motive power and rolling stock out of order, though insistently declaring to the contrary, embargoed his shipments or denied him cars when fortunate markets were calling.","Sentiment(polarity=-0.04166666666666666, subjectivity=0.3333333333333333)",-0.041666666666666664,0.3333333333333333
Too frequently transportation failed while perishable products were turning from possible profit to losses counted in tens of millions.,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.5333333333333333)",-0.13333333333333333,0.5333333333333333
I know of no problem exceeding in importance this one of transportation.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
In our complex and interdependent modern life transportation is essential to our very existence.,"Sentiment(polarity=0.02500000000000001, subjectivity=0.325)",0.02500000000000001,0.325
"Let us pass for the moment the menace in the possible paralysis of such service as we have and note the failure, for whatever reason, to expand our transportation to meet the Nation's needs.","Sentiment(polarity=-0.10555555555555557, subjectivity=0.6)",-0.10555555555555557,0.6
