sentence,sentiment,polarity,subjectivity
"
To the Senate and House of Representatives:
The reports of the several Executive Departments, which will be laid before Congress in the usual course, will exhibit in detail the operations of the Government for the last fiscal year.","Sentiment(polarity=-0.08333333333333333, subjectivity=0.10555555555555556)",-0.08333333333333333,0.10555555555555557
"Only the more important incidents and results, and chiefly such as may be the foundation of the recommendations I shall submit, will be referred to in this annual message.","Sentiment(polarity=0.225, subjectivity=0.75)",0.225,0.75
"The vast and increasing business of the Government has been transacted by the several Departments during the year with faithfulness, energy, and success.","Sentiment(polarity=0.09999999999999999, subjectivity=0.3333333333333333)",0.1,0.3333333333333333
"The revenues, amounting to above $450,000,000, have been collected and disbursed without revealing, so far as I can ascertain, a single case of defalcation or embezzlement.","Sentiment(polarity=0.009523809523809526, subjectivity=0.4380952380952381)",0.009523809523809526,0.4380952380952381
"An earnest effort has been made to stimulate a sense of responsibility and public duty in all officers and employees of every grade, and the work done by them has almost wholly escaped unfavorable criticism.","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666668
"I speak of these matters with freedom because the credit of this good work is not mine, but is shared by the heads of the several Departments with the great body of faithful officers and employees who serve under them.","Sentiment(polarity=0.5, subjectivity=0.45)",0.5,0.45
The closest scrutiny of Congress is invited to all the methods of administration and to every item of expenditure.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The friendly relations of our country with the nations of Europe and of the East have been undisturbed, while the ties of good will and common interest that bind us to the States of the Western Hemisphere have been notably strengthened by the conference held in this capital to consider measures for the general welfare.","Sentiment(polarity=0.22083333333333333, subjectivity=0.43333333333333335)",0.22083333333333333,0.43333333333333335
"Pursuant to the invitation authorized by Congress, the representatives of every independent State of the American continent and of Hayti met in conference in this capital in October, 1889, and continued in session until the 19th of last April.","Sentiment(polarity=0.0, subjectivity=0.06388888888888888)",0.0,0.06388888888888887
This important convocation marks a most interesting and influential epoch in the history of the Western Hemisphere.,"Sentiment(polarity=0.35, subjectivity=0.5)",0.35,0.5
"It is noteworthy that Brazil, invited while under an imperial form of government, shared as a republic in the deliberations and results of the conference.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The recommendations of this conference were all transmitted to Congress at the last session.,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666668
"The International Marine Conference, which sat at Washington last winter, reached a very gratifying result.","Sentiment(polarity=0.06666666666666667, subjectivity=0.12222222222222222)",0.06666666666666668,0.12222222222222222
"The regulations suggested have been brought to the attention of all the Governments represented, and their general adoption is confidently expected.","Sentiment(polarity=-0.024999999999999994, subjectivity=0.45)",-0.024999999999999998,0.45
