sentence,sentiment,polarity,subjectivity
"
Fellow-Citizens of the Senate and House of Representatives:
I congratulate you on the continued and increasing prosperity of our country.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"By the favor of Divine Providence we have been blessed during the past year with health, with abundant harvests, with profitable employment for all our people, and with contentment at home, and with peace and friendship with other nations.","Sentiment(polarity=0.075, subjectivity=0.525)",0.075,0.525
The occurrence of the twenty-fourth election of Chief Magistrate has afforded another opportunity to the people of the United States to exhibit to the world a significant example of the peaceful and safe transmission of the power and authority of government from the public servants whose terms of office are about to expire to their newly chosen successors.,"Sentiment(polarity=0.25227272727272726, subjectivity=0.4792424242424242)",0.2522727272727273,0.4792424242424242
This example can not fail to impress profoundly thoughtful people of other countries with the advantages which republican institutions afford.,"Sentiment(polarity=0.17500000000000002, subjectivity=0.3916666666666666)",0.17500000000000002,0.3916666666666666
"The immediate, general, and cheerful acquiescence of all good citizens in the result of the election gives gratifying assurance to our country and to its friends throughout the world that a government based on the free consent of an intelligent and patriotic people possesses elements of strength, stability, and permanency not found in any other form of government.","Sentiment(polarity=0.3708333333333333, subjectivity=0.6958333333333334)",0.3708333333333333,0.6958333333333334
Continued opposition to the full and free enjoyment of the rights of citizenship conferred upon the colored people by the recent amendments to the Constitution still prevails in several of the late slaveholding States.,"Sentiment(polarity=0.09, subjectivity=0.44000000000000006)",0.09,0.4400000000000001
"It has, perhaps, not been manifested in the recent election to any large extent in acts of violence or intimidation.","Sentiment(polarity=0.10714285714285714, subjectivity=0.3392857142857143)",0.10714285714285714,0.3392857142857143
"It has, however, by fraudulent practices in connection with the ballots, with the regulations as to the places and manner of voting, and with counting, returning, and canvassing the votes cast, been successful in defeating the exercise of the right preservative of all rights--the right of suffrage--which the Constitution expressly confers upon our enfranchised citizens.","Sentiment(polarity=0.4404761904761904, subjectivity=0.6738095238095237)",0.4404761904761904,0.6738095238095237
It is the desire of the good people of the whole country that sectionalism as a factor in our politics should disappear.,"Sentiment(polarity=0.44999999999999996, subjectivity=0.5)",0.45,0.5
They prefer that no section of the country should be united in solid opposition to any other section.,"Sentiment(polarity=-0.0625, subjectivity=0.2375)",-0.0625,0.2375
The disposition to refuse a prompt and hearty obedience to the equal-rights amendments to the Constitution is all that now stands in the way of a complete obliteration of sectional lines in our political contests.,"Sentiment(polarity=0.05, subjectivity=0.25)",0.05,0.25
"As long as either of these amendments is flagrantly violated or disregarded, it is safe to assume that the people who placed them in the Constitution, as embodying the legitimate results of the war for the Union, and who believe them to be wise and necessary, will continue to act together and to insist that they shall be obeyed.","Sentiment(polarity=0.2875, subjectivity=0.7)",0.2875,0.7
The paramount question still is as to the enjoyment of the fight by every American citizen who has the requisite qualifications to freely cast his vote and to have it honestly counted.,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5666666666666668)",0.3333333333333333,0.5666666666666668
"With this question rightly settled, the country will be relieved of the contentions of the past; bygones will indeed be bygones, and political and party issues, with respect to economy and efficiency of administration, internal improvements, the tariff, domestic taxation, education, finance, and other important subjects, will then receive their full share of attention; but resistance to and nullification of the results of the war will unite together in resolute purpose for their support all who maintain the authority of the Government and the perpetuity of the Union, and who adequately appreciate the value of the victory achieved.","Sentiment(polarity=0.11044973544973545, subjectivity=0.36044973544973546)",0.11044973544973544,0.36044973544973546
This determination proceeds from no hostile sentiment or feeling to any part of the people of our country or to any of their interests.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The inviolability of the amendments rests upon the fundamental principle of our Government.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
They are the solemn expression of the will of the people of the United States.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The sentiment that the constitutional rights of all our citizens must be maintained does not grow weaker.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
It will continue to control the Government of the country.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Happily, the history of the late election shows that in many parts of the country where opposition to the fifteenth amendment has heretofore prevailed it is diminishing, and is likely to cease altogether if firm and well-considered action is taken by Congress.","Sentiment(polarity=0.15, subjectivity=0.6)",0.15,0.6
"I trust the House of Representatives and the Senate, which have the right to judge of the elections, returns, and qualifications of their own members, will see to it that every case of violation of the letter or spirit of the fifteenth amendment is thoroughly investigated, and that no benefit from such violation shall accrue to any person or party.","Sentiment(polarity=0.29523809523809524, subjectivity=0.6785714285714285)",0.29523809523809524,0.6785714285714285
"It will be the duty of the Executive, with sufficient appropriations for the purpose, to prosecute unsparingly all who have been engaged in depriving citizens of the rights guaranteed to them by the Constitution.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It is not, however, to be forgotten that the best and surest guaranty of the primary rights of citizenship is to be found in that capacity for self-protection which can belong only to a people whose right to universal suffrage is supported by universal education.","Sentiment(polarity=0.2809523809523809, subjectivity=0.3892857142857143)",0.2809523809523809,0.3892857142857143
The means at the command of the local and State authorities are in many cases wholly inadequate to furnish free instruction to all who need it.,"Sentiment(polarity=0.3, subjectivity=0.43333333333333335)",0.3,0.43333333333333335
"This is especially true where before emancipation the education of the people was neglected or prevented, in the interest of slavery.","Sentiment(polarity=0.7, subjectivity=1.0)",0.7,1.0
"Firmly convinced that the subject of popular education deserves the earnest attention of the people of the whole country, with a view to wise and comprehensive action by the Government of the United States, I respectfully recommend that Congress, by suitable legislation and with proper safeguards, supplement the local educational funds in the several States where the grave duties and responsibilities of citizenship have been devolved on uneducated people by devoting to the purpose grants of the public lands and, if necessary, by appropriations from the Treasury of the United States.","Sentiment(polarity=0.18095238095238095, subjectivity=0.4214285714285714)",0.18095238095238092,0.4214285714285714
Whatever Government can fairly do to promote free popular education ought to be done.,"Sentiment(polarity=0.5666666666666668, subjectivity=0.8666666666666667)",0.5666666666666668,0.8666666666666667
"Wherever general education is found, peace, virtue, and social order prevail and civil and religious liberty are secure.","Sentiment(polarity=0.12083333333333335, subjectivity=0.35416666666666663)",0.12083333333333335,0.35416666666666663
In my former annual messages I have asked the attention of Congress to the urgent necessity of a reformation of the civil-service system of the Government.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
