sentence,sentiment,polarity,subjectivity
"
To the Senate and House of Representatives:
The Constitution requires that the President ""shall, from time to time, give to the Congress information of the state of the Union, and recommend to their consideration such measures as he shall judge necessary and expedient.""","Sentiment(polarity=0.0, subjectivity=0.75)",0.0,0.75
In complying with that requirement I wish to emphasize that during the past year the Nation has continued to grow in strength; our people have advanced in comfort; we have gained in knowledge; the education of youth has been more widely spread; moral and spiritual forces have been maintained; peace has become more assured.,"Sentiment(polarity=0.15, subjectivity=0.3761904761904762)",0.15,0.3761904761904762
The problems with which we are confronted are the problems of growth and of progress.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In their solution we have to determine the facts, to develop the relative importance to be assigned to such facts, to formulate a common judgment upon them, and to realize solutions in spirit of conciliation.","Sentiment(polarity=-0.09999999999999999, subjectivity=0.3333333333333333)",-0.1,0.3333333333333333
"FOREIGN RELATIONS
We are not only at peace with all the world, but the foundations for future peace are being substantially strengthened.","Sentiment(polarity=-0.041666666666666664, subjectivity=0.4166666666666667)",-0.04166666666666666,0.4166666666666667
To promote peace is our long-established policy.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Through the Kellogg-Briand pact a great moral standard has been raised in the world.,"Sentiment(polarity=0.26666666666666666, subjectivity=0.3333333333333333)",0.26666666666666666,0.3333333333333333
By it fifty-four nations have covenanted to renounce war and to settle all disputes by pacific means.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Through it a new world outlook has been inaugurated which has profoundly affected the foreign policies of nations.,"Sentiment(polarity=0.031565656565656554, subjectivity=0.5265151515151515)",0.031565656565656554,0.5265151515151515
Since its inauguration we have initiated new efforts not only in the organization of the machinery of peace but also to eliminate dangerous forces which produce controversies amongst nations.,"Sentiment(polarity=-0.15454545454545454, subjectivity=0.7848484848484848)",-0.15454545454545454,0.7848484848484848
"In January, 1926, the Senate gave its consent to adherence to the Court of International Justice with certain reservations.","Sentiment(polarity=0.10714285714285714, subjectivity=0.2857142857142857)",0.10714285714285714,0.2857142857142857
"In September of this year the statute establishing the court has, by the action of the nations signatory, been amended to meet the Senate's reservations and to go even beyond those reservations to make clear that the court is a true international court of justice.","Sentiment(polarity=0.1375, subjectivity=0.2833333333333333)",0.1375,0.2833333333333333
I believe it will be clear to everyone that no controversy or question in which this country has or claims an interest can be passed on by the court without our consent at the time the question arises.,"Sentiment(polarity=0.10000000000000002, subjectivity=0.3833333333333333)",0.10000000000000002,0.3833333333333333
The doubt about advisory opinions has been completely safeguarded.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4
"Our adherence to the International Court is, as now constituted, not the slightest step toward entry into the League of Nations.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"As I have before indicated, I shall direct that our signature be affixed to the protocol of adherence and shall submit it for the approval of the Senate with a special message at some time when it is convenient to deal with it.","Sentiment(polarity=0.2285714285714286, subjectivity=0.4857142857142857)",0.2285714285714286,0.4857142857142857
"In the hope of reducing friction in the world, and with the desire that we may reduce the great economic burdens of naval armament, we have joined in conference with Great Britain, France, Italy, and Japan to be held in London in January to consider the further limitation and reduction of naval arms.","Sentiment(polarity=0.45, subjectivity=0.55)",0.45,0.55
We hold high hopes that success may attend this effort.,"Sentiment(polarity=0.22999999999999998, subjectivity=0.26999999999999996)",0.23,0.27
At the beginning of the present administration the neighboring State of Mexico was best with domestic insurrection.,"Sentiment(polarity=0.3333333333333333, subjectivity=0.13333333333333333)",0.3333333333333333,0.13333333333333333
We maintained the embargo upon the shipment of arms to Mexico but permitted the duly constituted Government to procure supplies from our surplus war stocks.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Fortunately, the Mexican Government by its own strength successfully withstood the insurrection with but slight damage.","Sentiment(polarity=0.31666666666666665, subjectivity=0.5633333333333332)",0.31666666666666665,0.5633333333333332
Opportunity of further peaceful development is given to that country.,"Sentiment(polarity=0.125, subjectivity=0.5)",0.125,0.5
"At the request of the Mexican Government, we have since lifted the embargo on shipment of arms altogether.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The two governments have taken further steps to promote friendly relationships and so solve our differences.,"Sentiment(polarity=0.1875, subjectivity=0.5)",0.1875,0.5
Conventions prolonging for a period of two years the life of the general and special claims commissions have been concluded.,"Sentiment(polarity=0.20357142857142857, subjectivity=0.5357142857142857)",0.20357142857142854,0.5357142857142857
In South America we are proud to have had part in the settlement of the long-standing dispute between Chile and Peru in the disposal of the question of Tacna-Arica.,"Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1.0
"The work of the commission of inquiry and conciliation between Bolivia and Paraguay, in which a representative of this Government participated, has successfully terminated an incident which seemed to threaten war.","Sentiment(polarity=0.75, subjectivity=0.95)",0.75,0.95
The proposed plan for final settlement as suggested by the neutral governments is still under consideration.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
This Government has continued its efforts to act as a mediator in boundary difficulties between Guatemala and Honduras.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"A further instance of profound importance in establishing good will was the inauguration of regular air mail service between the United States and Caribbean, Central American, and South American countries.","Sentiment(polarity=0.11190476190476191, subjectivity=0.34670329670329675)",0.11190476190476192,0.34670329670329675
"We still have marines on foreign soil--in Nicaragua, Haiti, and China.","Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125
In the large sense we do not wish to be represented abroad in such manner.,"Sentiment(polarity=0.10714285714285714, subjectivity=0.4642857142857143)",0.10714285714285714,0.4642857142857143
"About 1,600 marines remain in Nicaragua at the urgent request of that government and the leaders of all parties pending the training of a domestic constabulary capable of insuring tranquility.","Sentiment(polarity=0.1, subjectivity=0.25)",0.1,0.25
We have already reduced these forces materially and we are anxious to withdraw them further as the situation warrants.,"Sentiment(polarity=-0.125, subjectivity=0.75)",-0.125,0.75
"In Haiti we have about 700 marines, but it is a much more difficult problem, the solution of which is still obscure.","Sentiment(polarity=0.0, subjectivity=0.75)",0.0,0.75
"If Congress approves, I shall dispatch a commission to Haiti to review and study the matter in an endeavor to arrive at some more definite policy than at present.","Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",0.16666666666666666,0.3333333333333333
"Our forces in China constitute 2,605 men, which we hope also further to reduce to the normal legation guard.","Sentiment(polarity=0.075, subjectivity=0.575)",0.075,0.575
It is my desire to establish more firmly our understanding and relationships with the Latin American countries by strengthening the diplomatic missions to those countries.,"Sentiment(polarity=0.09999999999999999, subjectivity=0.3)",0.1,0.3
"It is my hope to secure men long experienced in our Diplomatic Service, who speak the languages of the peoples to whom they are accredited, as chiefs of our diplomatic missions in these States.","Sentiment(polarity=0.38333333333333336, subjectivity=0.6333333333333333)",0.38333333333333336,0.6333333333333333
I shall send to the Senate at an early date the nominations of several such men.,"Sentiment(polarity=0.03333333333333333, subjectivity=0.26666666666666666)",0.03333333333333333,0.26666666666666666
The Congress has by numerous wise and foresighted acts in the past few years greatly strengthened the character of our representation abroad.,"Sentiment(polarity=0.21000000000000002, subjectivity=0.5)",0.21,0.5
It has made liberal provision for the establishment of suitable quarters for our foreign staffs in the different countries.,"Sentiment(polarity=0.1416666666666667, subjectivity=0.4916666666666667)",0.1416666666666667,0.4916666666666667
"In order, however, that we may further develop the most effective force in this, one of the most responsible functions of our Government, I shall recommend to the Congress more liberal appropriations for the work of the State Department.","Sentiment(polarity=0.3833333333333333, subjectivity=0.5583333333333332)",0.3833333333333333,0.5583333333333332
I know of no expenditure of public money from which a greater economic and moral return can come to us than by assuring the most effective conduct of our foreign relations.,"Sentiment(polarity=0.23928571428571427, subjectivity=0.3488095238095238)",0.2392857142857143,0.3488095238095238
"NATIONAL DEFENSE
To preserve internal order and freedom from encroachment is the first purpose of government.","Sentiment(polarity=0.125, subjectivity=0.16666666666666666)",0.125,0.16666666666666666
Our Army and Navy are being maintained in a most efficient state under officers of high intelligence and zeal.,"Sentiment(polarity=0.33, subjectivity=0.52)",0.33,0.52
The extent and expansion of their numbers and equipment as at present authorized are ample for this purpose.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We can well be deeply concerned, however, at the growing expense.","Sentiment(polarity=0.0, subjectivity=0.4)",0.0,0.4
"From a total expenditure for national defense purposes in 1914 of $267,000,000, it naturally rose with the Great War, but receded again to $612,000,000 in 1924, when again it began to rise until during the current fiscal year the expenditures will reach to over $730,000,000, excluding all civilian services of those departments.","Sentiment(polarity=0.35, subjectivity=0.7125)",0.35,0.7125
Programs now authorized will carry it to still larger figures in future years.,"Sentiment(polarity=0.0, subjectivity=0.3125)",0.0,0.3125
"While the remuneration paid to our soldiers and sailors is justly at a higher rate than that of any other country in the world, and while the cost of subsistence is higher, yet the total of our expenditures is in excess of those of the most highly militarized nations of the world.","Sentiment(polarity=0.1725, subjectivity=0.5275)",0.1725,0.5275
