sentence,sentiment,polarity,subjectivity
"
The Senate and House of Representatives of the United States:
It would have given me, fellow citizens, great satisfaction to announce in the moment of your meeting that the difficulties in our foreign relations existing at the time of your last separation had been amicably and justly terminated.","Sentiment(polarity=0.225, subjectivity=0.3138888888888889)",0.225,0.3138888888888889
I lost no time in taking those measures which were most likely to bring them to such a termination - by special missions charged with such powers and instructions as in the event of failure could leave no imputation on either our moderation or forbearance.,"Sentiment(polarity=0.09007936507936509, subjectivity=0.5619047619047618)",0.09007936507936508,0.5619047619047618
The delays which have since taken place in our negotiations with the British Government appear to have proceeded from causes which do not forbid the expectation that during the course of the session I may be enabled to lay before you their final issue.,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
What will be that of the negotiations for settling our differences with Spain nothing which had taken place at the date of the last dispatches enables us to pronounce.,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666668
"On the western side of the Mississippi she advanced in considerable force, and took post at the settlement of Bayou Pierre, on the Red River.","Sentiment(polarity=0.125, subjectivity=0.2625)",0.125,0.2625
"This village was originally settled by France, was held by her as long as she held Louisiana, and was delivered to Spain only as a part of Louisiana.","Sentiment(polarity=0.10833333333333334, subjectivity=0.7166666666666667)",0.10833333333333334,0.7166666666666667
"Being small, insulated, and distant, it was not observed at the moment of redelivery to France and the United States that she continued a guard of half a dozen men which had been stationed there.","Sentiment(polarity=-0.1722222222222222, subjectivity=0.3055555555555555)",-0.1722222222222222,0.3055555555555555
"A proposition, however, having been lately made by our commander in chief to assume the Sabine River as a temporary line of separation between the troops of the two nations until the issue of our negotiations shall be known, this has been referred by the Spanish commandant to his superior, and in the mean time he has withdrawn his force to the western side of the Sabine River.","Sentiment(polarity=0.017499999999999995, subjectivity=0.4375)",0.017499999999999998,0.4375
The correspondence on this subject now communicated will exhibit more particularly the present state of things in that quarter.,"Sentiment(polarity=0.125, subjectivity=0.29166666666666663)",0.125,0.29166666666666663
The nature of that country requires indispensably that an unusual proportion of the force employed there should be cavalry or mounted infantry.,"Sentiment(polarity=0.30000000000000004, subjectivity=0.95)",0.30000000000000004,0.95
"In order, therefore, that the commanding officer might be enabled to act with effect, I had authorized him to call on the governors of Orleans and Mississippi for a corps of 500 volunteer cavalry.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The temporary arrangement he has proposed may perhaps render this unnecessary; but I inform you with great pleasure of the promptitude with which the inhabitants of those Territories have tendered their services in defense of their country.,"Sentiment(polarity=0.2, subjectivity=0.825)",0.2,0.825
"It has done honor to themselves, entitled them to the confidence of their fellow citizens in every part of the Union, and must strengthen the general determination to protect them efficaciously under all circumstances which may occur.","Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5
"Having received information that in another part of the United States a great number of private individuals were combining together, arming and organizing themselves contrary to law, to carry on a military expedition against the territories of Spain, I thought it necessary, by proclamation as well as by special orders, to take measures for preventing and suppressing this enterprise, for seizing the vessels, arms, and other means provided for it, and for arresting and bringing to justice its authors and abettors.","Sentiment(polarity=0.15535714285714286, subjectivity=0.5285714285714286)",0.15535714285714286,0.5285714285714286
"It was due to that good faith which ought ever to be the rule of action in public as well as in private transactions, it was due to good order and regular government, that while the public force was acting strictly on defensive and merely to protect our citizens from aggression the criminal attempts of private individuals to decide for their country the question of peace or war by commencing active and unauthorized hostilities should be promptly and efficaciously suppressed.","Sentiment(polarity=0.015476190476190475, subjectivity=0.3328754578754579)",0.015476190476190475,0.3328754578754579
