sentence,sentiment,polarity,subjectivity
"
[ As delivered in person before a joint session ]
Mr. Vice President, Mr. Speaker, Members of the 88th Congress:
I congratulate you all--not merely on your electoral victory but on your selected role in history.","Sentiment(polarity=-0.5, subjectivity=0.5)",-0.5,0.5
For you and I are privileged to serve the great Republic in what could be the most decisive decade in its long history.,"Sentiment(polarity=0.4166666666666667, subjectivity=0.5499999999999999)",0.4166666666666667,0.5499999999999999
"The choices we make, for good or ill, may well shape the state of the Union for generations yet to come.","Sentiment(polarity=0.09999999999999998, subjectivity=0.8)",0.09999999999999998,0.8
Little more than 100 weeks ago I assumed the office of President of the United States.,"Sentiment(polarity=0.15625, subjectivity=0.5)",0.15625,0.5
"In seeking the help of the Congress and our countrymen, I pledged no easy answers.","Sentiment(polarity=-0.21666666666666667, subjectivity=0.8333333333333334)",-0.21666666666666667,0.8333333333333334
I pledged--and asked--only toil and dedication.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
These the Congress and the people have given in good measure.,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
"And today, having witnessed in recent months a heightened respect for our national purpose and power--having seen the courageous calm of a united people in a perilous hour-and having observed a steady improvement in the opportunities and well-being of our citizens--I can report to you that the state of this old but youthful Union, in the 175th year of its life, is good.","Sentiment(polarity=0.2533333333333333, subjectivity=0.45999999999999996)",0.2533333333333333,0.46
"In the world beyond our borders, steady progress has been made in building a world of order.","Sentiment(polarity=0.16666666666666666, subjectivity=0.5)",0.16666666666666666,0.5
The people of West Berlin remain both free and secure.,"Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7
"A settlement, though still precarious, has been reached in Laos.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The spearpoint of aggression has been blunted in Viet-Nam.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The end of agony may be in sight in the Congo.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The doctrine of troika is dead.,"Sentiment(polarity=-0.2, subjectivity=0.4)",-0.2,0.4
"And, while danger continues, a deadly threat has been removed in Cuba.","Sentiment(polarity=-0.2, subjectivity=0.4)",-0.2,0.4
"At home, the recession is behind us.","Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7
Well over a million more men and women are working today than were working 2 years ago.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
The average factory workweek is once again more than 40 hours; our industries are turning out more goods than ever before; and more than half of the manufacturing capacity that lay silent and wasted 100 weeks ago is humming with activity.,"Sentiment(polarity=0.14047619047619048, subjectivity=0.3095238095238095)",0.14047619047619048,0.3095238095238095
"In short, both at home and abroad, there may now be a temptation to relax.","Sentiment(polarity=0.0, subjectivity=0.3)",0.0,0.3
"For the road has been long, the burden heavy, and the pace consistently urgent.","Sentiment(polarity=0.0, subjectivity=0.3833333333333333)",0.0,0.3833333333333333
But we cannot be satisfied to rest here.,"Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1.0
"This is the side of the hill, not the top.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
The mere absence of war is not peace.,"Sentiment(polarity=-0.25625, subjectivity=0.25)",-0.25625,0.25
The mere absence of recession is not growth.,"Sentiment(polarity=-0.25625, subjectivity=0.25)",-0.25625,0.25
We have made a beginning--but we have only begun.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
Now the time has come to make the most of our gains--to translate the renewal of our national strength into the achievement of our national purpose.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
II.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
America has enjoyed 22 months of uninterrupted economic recovery.,"Sentiment(polarity=0.2333333333333333, subjectivity=0.3)",0.2333333333333333,0.3
But recovery is not enough.,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
"If we are to prevail in the long run, we must expand the long-run strength of our economy.","Sentiment(polarity=-0.05, subjectivity=0.4)",-0.05,0.4
We must move along the path to a higher rate of growth and full employment.,"Sentiment(polarity=0.3, subjectivity=0.525)",0.3,0.525
"For this would mean tens of billions of dollars more each year in production, profits, wages, and public revenues.","Sentiment(polarity=0.0625, subjectivity=0.41805555555555557)",0.0625,0.4180555555555556
"It would mean an end to the persistent slack which has kept our unemployment at or above 5 percent for 61 out of the past 62 months--and an end to the growing pressures for such restrictive measures as the 35-hour week, which alone could increase hourly labor costs by as much as 14 percent, start a new wage-price spiral of inflation, and undercut our efforts to compete with other nations.","Sentiment(polarity=-0.050162337662337665, subjectivity=0.3667207792207792)",-0.05016233766233767,0.3667207792207792
"To achieve these greater gains, one step, above all, is essential--the enactment this year of a substantial reduction and revision in Federal income taxes.","Sentiment(polarity=0.25, subjectivity=0.3)",0.25,0.3
"For it is increasingly clear--to those in Government, business, and labor who are responsible for our economy's success--that our obsolete tax system exerts too heavy a drag on private purchasing power, profits, and employment.","Sentiment(polarity=-0.025, subjectivity=0.37395833333333334)",-0.025,0.3739583333333333
"Designed to check inflation in earlier years, it now checks growth instead.","Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
It discourages extra effort and risk.,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1
It distorts the use of resources.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It invites recurrent recessions, depresses our Federal revenues, and causes chronic budget deficits.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Now, when the inflationary pressures of the war and the post-war years no longer threaten, and the dollar commands new respect-now, when no military crisis strains our resources--now is the time to act.","Sentiment(polarity=0.09318181818181817, subjectivity=0.2772727272727273)",0.09318181818181816,0.2772727272727273
We cannot afford to be timid or slow.,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.4
For this is the most urgent task confronting the Congress in 1963.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"In an early message, I shall propose a permanent reduction in tax rates which will lower liabilities by $13.5 billion.","Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3
"Of this, $11 billion results from reducing individual tax rates, which now range between 20 and 91 percent, to a more sensible range of 14 to 65 percent, with a split in the present first bracket.","Sentiment(polarity=0.1875, subjectivity=0.30833333333333335)",0.1875,0.3083333333333333
"Two and one-half billion dollars results from reducing corporate tax rates, from 52 percent--which gives the Government today a majority interest in profits-to the permanent pre-Korean level of 47 percent.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
This is in addition to the more than $2 billion cut in corporate tax liabilities resulting from last year's investment credit and depreciation reform.,"Sentiment(polarity=0.16666666666666666, subjectivity=0.18888888888888888)",0.16666666666666666,0.18888888888888888
"To achieve this reduction within the limits of a manageable budgetary deficit, I urge: first, that these cuts be phased over 3 calendar years, beginning in 1963 with a cut of some $6 billion at annual rates; second, that these reductions be coupled with selected structural changes, beginning in 1964, which will broaden the tax base, end unfair or unnecessary preferences, remove or lighten certain hardships, and in the net offset some $3.5 billion of the revenue loss; and third, that budgetary receipts at the outset be increased by $1.5 billion a year, without any change in tax liabilities, by gradually shifting the tax payments of large corporations to a .","Sentiment(polarity=-0.11349206349206353, subjectivity=0.4703703703703704)",-0.11349206349206352,0.4703703703703704
more current time schedule.,"Sentiment(polarity=0.25, subjectivity=0.45)",0.25,0.45
"This combined program, by increasing the amount of our national income, will in time result in still higher Federal revenues.","Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5
It is a fiscally responsible program--the surest and the soundest way of achieving in time a balanced budget in a balanced full employment economy.,"Sentiment(polarity=0.275, subjectivity=0.55)",0.275,0.55
"This net reduction in tax liabilities of $10 billion will increase the purchasing power of American families and business enterprises in every tax bracket, with greatest increase going to our low-income consumers.","Sentiment(polarity=0.3333333333333333, subjectivity=0.3333333333333333)",0.3333333333333333,0.3333333333333333
