sentence,sentiment,polarity,subjectivity
"
Mr. Speaker, Mr. President, Members of the Congress and my fellow Americans
For the sixth and the last time, I present to the Congress my assessment of the State of the Union.","Sentiment(polarity=0.0, subjectivity=0.03333333333333333)",0.0,0.03333333333333333
"I shall speak to you tonight about challenge and opportunity--and about the commitments that all of us have made together that will, if we carry them out, give America our best chance to achieve the kind of great society that we all want.","Sentiment(polarity=0.8000000000000002, subjectivity=0.65)",0.8000000000000002,0.65
"Every President lives, not only with what is, but with what has been and what could be.","Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
Most of the great events in his Presidency are part of a larger sequence extending back through several years and extending back through several other administrations.,"Sentiment(polarity=0.146875, subjectivity=0.265625)",0.146875,0.265625
"Urban unrest, poverty, pressures on welfare, education of our people, law enforcement and law and order, the continuing crisis in the Middle East, the conflict in Vietnam, the dangers of nuclear war, the great difficulties of dealing with the Communist powers, all have this much in common: They and their causes--the causes that gave rise to them--all of these have existed with us for many years.","Sentiment(polarity=0.2, subjectivity=0.35)",0.2,0.35
Several Presidents have already sought to try to deal with them.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
One or more Presidents will try to resolve them or try to contain them in the years that are ahead of us.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"But if the Nation's problems are continuing, so are this great Nation's assets:--our economy,--the democratic system,--our sense of exploration, symbolized most recently by the wonderful flight of the Apollo 8, in which all Americans took great pride,--the good commonsense and sound judgment of the American people, and--their essential love of justice.","Sentiment(polarity=0.47000000000000003, subjectivity=0.5149999999999999)",0.47,0.5149999999999999
We must not ignore our problems.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
But .neither should we ignore our strengths.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Those strengths are available to sustain a President of either party--to support his progressive efforts both at home and overseas.,"Sentiment(polarity=0.4, subjectivity=0.4)",0.4,0.4
"Unfortunately, the departure of an administration does not mean the end of the problems that this administration has faced.","Sentiment(polarity=-0.171875, subjectivity=0.84375)",-0.171875,0.84375
"The effort to meet the problems must go on, year after year, if the momentum that we have all mounted together in these past years is not to be lost.","Sentiment(polarity=-0.25, subjectivity=0.25)",-0.25,0.25
"Although the struggle for progressive change is continuous, there are times when a watershed is reached--when there is--if not really a break with the past--at least the fulfillment of many of its oldest hopes, and a stepping forth into a new environment, to seek new goals.","Sentiment(polarity=0.07454545454545454, subjectivity=0.40181818181818185)",0.07454545454545454,0.40181818181818185
I think the past 5 years have been such a time.,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375
We have finished a major part of the old agenda.,"Sentiment(polarity=0.08125, subjectivity=0.35)",0.08125,0.35
"Some of the laws that we wrote have already, in front of our eyes, taken on the flesh of achievement.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Medicare that we were unable to pass for so many years is now a part of American life.,"Sentiment(polarity=0.0, subjectivity=0.3333333333333333)",0.0,0.3333333333333333
"Voting rights and the voting booth that we debated so long back in the fifties, and the doors to public service, are open at last to all Americans regardless of their color.","Sentiment(polarity=-0.01, subjectivity=0.2066666666666667)",-0.01,0.2066666666666667
Schools and school children all over America tonight are receiving Federal assistance to go to good schools.,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
"Preschool education--Head Start--is already here to stay and, I think, so are the Federal programs that tonight are keeping more than a million and a half of the cream of our young people in the colleges and the universities of this country.","Sentiment(polarity=0.14444444444444446, subjectivity=0.35555555555555557)",0.14444444444444446,0.3555555555555556
"Part of the American earth--not only in description on a map, but in the reality of our shores, our hills, our parks, our forests, and our mountains--has been permanently set aside for the American public and for their benefit.","Sentiment(polarity=0.0, subjectivity=0.26666666666666666)",0.0,0.26666666666666666
And there is more that will be set aside before this administration ends.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
Five million Americans have been trained for jobs in new Federal programs.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
I think it is most important that we all realize tonight that this Nation is close to full employment--with less unemployment than we have had at any time in almost 20 years.,"Sentiment(polarity=0.2708333333333333, subjectivity=0.5291666666666667)",0.2708333333333333,0.5291666666666667
That is not in theory; that is in fact.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Tonight, the unemployment rate is down to 3.3 percent.","Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)",-0.1555555555555556,0.2888888888888889
The number of jobs has grown more than 8 1/2 million in the last 5 years.,"Sentiment(polarity=0.25, subjectivity=0.2833333333333333)",0.25,0.2833333333333333
That is more than in all the preceding 12 years.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"These achievements completed the full cycle, from idea to enactment and, finally, to a place in the lives of citizens all across this country.","Sentiment(polarity=0.175, subjectivity=0.775)",0.175,0.775
I wish it were possible to say that everything that this Congress and the administration achieved during this period had already completed that cycle.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
