sentence,sentiment,polarity,subjectivity
"
 Fellow-Citizens of the Senate and House of Representatives:
Since your last annual assembling another year of health and bountiful harvests has passed, and while it has not pleased the Almighty to bless us with a return of peace, we can but press on, guided by the best light He gives us, trusting that in His own good time and wise way all will yet be well.","Sentiment(polarity=0.45000000000000007, subjectivity=0.6523809523809524)",0.4500000000000001,0.6523809523809524
"The correspondence touching foreign affairs which has taken place during the last year is herewith submitted, in virtual compliance with a request to that effect made by the House of Representatives near the close of the last session of Congress.","Sentiment(polarity=0.095, subjectivity=0.2316666666666667)",0.095,0.2316666666666667
"If the condition of our relations with other nations is less gratifying than it has usually been at former periods, it is certainly more satisfactory than a nation so unhappily distracted as we are might reasonably have apprehended.","Sentiment(polarity=-0.06309523809523808, subjectivity=0.38452380952380955)",-0.06309523809523808,0.3845238095238096
"In the month of June last there were some grounds to expect that the maritime powers which at the beginning of our domestic difficulties so unwisely and unnecessarily, as we think, recognized the insurgents as a belligerent would soon recede from that position, which has proved only less injurious to themselves than to our own country.","Sentiment(polarity=0.005555555555555554, subjectivity=0.5222222222222223)",0.005555555555555554,0.5222222222222223
"But the temporary reverses which afterwards befell the national arms, and which were exaggerated by our own disloyal citizens abroad, have hitherto delayed that act of simple justice.","Sentiment(polarity=0.033333333333333326, subjectivity=0.7857142857142857)",0.033333333333333326,0.7857142857142857
"The civil war, which has so radically changed for the moment the occupations and habits of the American people, has necessarily disturbed the social condition and affected very deeply the prosperity of the nations with which we have carried on a commerce that has been steadily increasing throughout a period of half a century.","Sentiment(polarity=0.005555555555555554, subjectivity=0.3755555555555556)",0.005555555555555554,0.3755555555555556
It has at the same time excited political ambitions and apprehensions which have produced a profound agitation throughout the civilized world.,"Sentiment(polarity=0.1716666666666667, subjectivity=0.575)",0.1716666666666667,0.575
In this unusual agitation we have forborne from taking part in any controversy between foreign states and between parties or factions in such states.,"Sentiment(polarity=0.025000000000000005, subjectivity=0.5416666666666666)",0.025000000000000005,0.5416666666666666
We have attempted no propagandism and acknowledged no revolution.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
But we have left to every nation the exclusive conduct and management of its own affairs.,"Sentiment(polarity=0.3, subjectivity=0.5)",0.3,0.5
"Our struggle has been, of course, contemplated by foreign nations with reference less to its own merits than to its supposed and often exaggerated effects and consequences resulting to those nations themselves.","Sentiment(polarity=-0.04791666666666666, subjectivity=0.5479166666666666)",-0.04791666666666666,0.5479166666666666
"Nevertheless, complaint on the part of this Government, even if it were just, would certainly be unwise.","Sentiment(polarity=-0.04285714285714286, subjectivity=0.3857142857142857)",-0.042857142857142864,0.3857142857142857
The treaty with Great Britain for the suppression of the slave trade has been put into operation with a good prospect of complete success.,"Sentiment(polarity=0.47500000000000003, subjectivity=0.4375)",0.475,0.4375
It is an occasion of special pleasure to acknowledge that the execution of it on the part of Her Majesty's Government has been marked with a jealous respect for the authority of the United States and the rights of their moral and loyal citizens.,"Sentiment(polarity=0.19761904761904764, subjectivity=0.5636904761904762)",0.19761904761904764,0.5636904761904762
The convention with Hanover for the abolition of the Stade dues has been carried into full effect under the act of Congress for that purpose.,"Sentiment(polarity=0.35, subjectivity=0.55)",0.35,0.55
"A blockade of 3,000 miles of seacoast could not be established and vigorously enforced in a season of great commercial activity like the present without committing occasional mistakes and inflicting unintentional injuries upon foreign nations and their subjects.","Sentiment(polarity=0.135, subjectivity=0.2)",0.135,0.2
"A civil war occurring in a country, where foreigners reside and carry on trade under treaty stipulations is necessarily fruitful of complaints of the violation of neutral rights.","Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
"All such collisions tend to excite misapprehensions, and possibly to produce mutual reclamations between nations which have a common interest in preserving peace and friendship.","Sentiment(polarity=-0.09999999999999999, subjectivity=0.6666666666666666)",-0.1,0.6666666666666666
In clear cases of these kinds I have so far as possible heard and redressed complaints which have been presented by friendly powers.,"Sentiment(polarity=0.14375, subjectivity=0.7208333333333333)",0.14375,0.7208333333333333
"There is still, however, a large and an augmenting number of doubtful cases upon which the Government is unable to agree with the governments whose protection is demanded by the claimants.","Sentiment(polarity=-0.36190476190476195, subjectivity=0.6095238095238095)",-0.361904761904762,0.6095238095238095
"There are, moreover, many cases in which the United States or their citizens suffer wrongs from the naval or military authorities of foreign nations which the governments of those states are not at once prepared to redress.","Sentiment(polarity=0.09166666666666667, subjectivity=0.24166666666666667)",0.09166666666666667,0.2416666666666667
I have proposed to some of the foreign states thus interested mutual conventions to examine and adjust such complaints.,"Sentiment(polarity=0.041666666666666664, subjectivity=0.375)",0.041666666666666664,0.375
"This proposition has been made especially to Great Britain, to France, to Spain, and to Prussia.","Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
"In each case it has been kindly received, but has not yet been formally adopted.","Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9
"I deem it my duty to recommend an appropriation in behalf of the owners of the Norwegian bark Admiral P. Tordenskiold, which vessel was in May, 1861, prevented by the commander of the blockading force off Charleston from leaving that port with cargo, notwithstanding a similar privilege had shortly before been granted to an English vessel.","Sentiment(polarity=0.0, subjectivity=0.175)",0.0,0.175
I have directed the Secretary of State to cause the papers in the case to be communicated to the proper committees.,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1
"Applications have been made to me by many free Americans of African descent to favor their emigration, with a view to such colonization as was contemplated in recent acts of Congress.","Sentiment(polarity=0.18, subjectivity=0.41)",0.18,0.41
"Other parties, at home and abroad--some from interested motives, others upon patriotic considerations, and still others influenced by philanthropic sentiments--have suggested similar measures, while, on the other hand, several of the Spanish American Republics have protested against the sending of such colonies to their respective territories.","Sentiment(polarity=0.0, subjectivity=0.25)",0.0,0.25
"Under these circumstances I have declined to move any such colony to any state without first obtaining the consent of its government, with an agreement on its part to receive and protect such emigrants in all the rights of freemen; and I have at the same time offered to the several States situated within the Tropics, or having colonies there, to negotiate with them, subject to the advice and consent of the Senate, to favor the voluntary emigration of persons of that class to their respective territories, upon conditions which shall be equal, just, and humane.","Sentiment(polarity=0.010416666666666668, subjectivity=0.2677083333333333)",0.01041666666666667,0.2677083333333333
"Liberia and Hayti are as yet the only countries to which colonists of African descent from here could go with certainty of being received and adopted as citizens; and I regret to say such persons contemplating colonization do not seem so willing to migrate to those countries as to some others, nor so willing as I think their interest demands.","Sentiment(polarity=0.1, subjectivity=0.6)",0.1,0.6
"I believe, however, opinion among them in this respect is improving, and that ere long there will be an augmented and considerable migration to both these countries from the United States.","Sentiment(polarity=0.025, subjectivity=0.42500000000000004)",0.025,0.425
The new commercial treaty between the United States and the Sultan of Turkey has been carried into execution.,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.06818181818181818,0.2272727272727273
"A commercial and consular treaty has been negotiated, subject to the Senate's consent, with Liberia, and a similar negotiation is now pending with the Republic of Hayti.","Sentiment(polarity=-0.05555555555555555, subjectivity=0.24444444444444446)",-0.05555555555555555,0.2444444444444445
A considerable improvement of the national commerce is expected to result from these measures.,"Sentiment(polarity=0.0, subjectivity=0.42500000000000004)",0.0,0.425
"Our relations with Great Britain, France, Spain, Portugal, Russia, Prussia, Denmark, Sweden, Austria, the Netherlands, Italy, Rome, and the other European States remain undisturbed.","Sentiment(polarity=0.225, subjectivity=0.375)",0.225,0.375
"Very favorable relations also continue to be maintained with Turkey, Morocco, China, and Japan.","Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3
"During the last year there has not only been no change of our previous relations with the independent States of our own continent, but more friendly sentiments than have heretofore existed are believed to be entertained by these neighbors, whose safety and progress are so intimately connected with our own.","Sentiment(polarity=0.23425925925925928, subjectivity=0.550925925925926)",0.2342592592592593,0.550925925925926
"This statement especially applies to Mexico, Nicaragua, Costa Rica, Honduras, Peru, and Chile.","Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
The commission under the convention with the Republic of New Granada closed its session without having audited and passed upon all the claims which were submitted to it.,"Sentiment(polarity=0.018181818181818174, subjectivity=0.2772727272727273)",0.018181818181818167,0.2772727272727273
"A proposition is pending to revive the convention, that it may be able to do more complete justice.","Sentiment(polarity=0.3666666666666667, subjectivity=0.5083333333333333)",0.3666666666666667,0.5083333333333333
The joint commission between the United States and the Republic of Costa Rica has completed its labors and submitted its report.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"I have favored the project for connecting the United States with Europe by an Atlantic telegraph, and a similar project to extend the telegraph from San Francisco to connect by a Pacific telegraph with the line which is being extended across the Russian Empire.","Sentiment(polarity=0.26666666666666666, subjectivity=0.43333333333333335)",0.26666666666666666,0.43333333333333335
