sentence,sentiment,polarity,subjectivity
"
To the Congress of the United States:
We enter 1974 not at the beginning of an historical cycle, but in the middle of one.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Beginnings have been made in many vital areas, beginnings which we now must build upon.","Sentiment(polarity=0.3, subjectivity=0.45)",0.3,0.45
New needs have arisen which we are in the process of addressing.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
Opportunities are coalescing which give us a chance to make historic progress toward a stable peace and expanding prosperity.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In looking at the agenda for 1974, we cannot consider the work of this or of any one year in isolation.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"What we select as our tasks in 1974 must build on the work of the years before, and anticipate needs of those ahead.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Indeed, one of the continuing challenges facing us in the legislative process is that of the timing and pacing of our initiatives.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It would be as false to pretend that we could do--or afford to do everything at once, as it would be to maintain that we can do nothing.","Sentiment(polarity=-0.4000000000000001, subjectivity=0.6)",-0.4000000000000001,0.6
"Therefore, we must strive to maintain steady progress, selecting each year among many worthy projects those that are ripe for action at that time, and that can be accommodated within the constraints of our budget--but pressing to ensure that the most that can be done is clone.","Sentiment(polarity=0.32, subjectivity=0.52)",0.32,0.52
"In discussing my legislative recommendations for this Congressional session, therefore, I shall do so in the context of the advances that have already been made, the problems that remain, and the special opportunities we have in 1974 to make further progress.","Sentiment(polarity=0.17857142857142858, subjectivity=0.5357142857142857)",0.17857142857142858,0.5357142857142857
"I have started with certain basic premises:
--The basic tax burden on the American taxpayer should not be increased.","Sentiment(polarity=0.05357142857142857, subjectivity=0.20535714285714285)",0.05357142857142857,0.20535714285714285
"--Our new initiatives, therefore, should be scaled to what can prudently be spent given the level of revenues that would be generated by the existing tax structure at full utilization of our resources.","Sentiment(polarity=0.12878787878787878, subjectivity=0.36818181818181817)",0.12878787878787878,0.36818181818181817
"--Increases in Federal spending should be kept to a minimum, but the budget should be flexible enough to be used, if necessary, to maintain jobs and prosperity.","Sentiment(polarity=0.0, subjectivity=0.75)",0.0,0.75
