sentence,sentiment,polarity,subjectivity
"
Mr. Speaker, Mr. Vice President, Members of Congress, distinguished guests, and fellow Americans: Tonight I want to begin by congratulating the men and women of the 112th Congress, as well as your new Speaker, John Boehner.","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
"And as we mark this occasion, we're also mindful of the empty chair in this Chamber, and we pray for the health of our colleague and our friend Gabby Giffords.","Sentiment(polarity=-0.1, subjectivity=0.5)",-0.1,0.5
It's no secret that those of us here tonight have had our differences over the last 2 years.,"Sentiment(polarity=0.1, subjectivity=0.3833333333333333)",0.1,0.3833333333333333
The debates have been contentious; we have fought fiercely for our beliefs.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
And that's a good thing.,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
That's what a robust democracy demands.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
That's what helps set us apart as a nation.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
But there's a reason the tragedy in Tucson gave us pause.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Amid all the noise and passion and rancor of our public debate, Tucson reminded us that no matter who we are or where we come from, each of us is a part of something greater, something more consequential than party or political preference.","Sentiment(polarity=0.25, subjectivity=0.2916666666666667)",0.25,0.2916666666666667
We are part of the American family.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We believe that in a country where every race and faith and point of view can be found, we are still bound together as one people, that we share common hopes and a common creed, that the dreams of a little girl in Tucson are not so different than those of our own children, that they all deserve the chance to be fulfilled.","Sentiment(polarity=-0.0375, subjectivity=0.62)",-0.0375,0.62
That too is what sets us apart as a nation.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Now, by itself, this simple recognition won't usher in a new era of cooperation.","Sentiment(polarity=0.06818181818181818, subjectivity=0.40584415584415584)",0.06818181818181818,0.40584415584415584
What comes of this moment is up to us.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"What comes of this moment will be determined not by whether we can sit together tonight, but whether we can work together tomorrow.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"I believe we can, and I believe we must.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
That's what the people who sent us here expect of us.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"With their votes, they've determined that governing will now be a shared responsibility between parties.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
New laws will only pass with support from Democrats and Republicans.,"Sentiment(polarity=0.06818181818181818, subjectivity=0.7272727272727273)",0.06818181818181818,0.7272727272727273
"We will move forward together or not at all, for the challenges we face are bigger than party and bigger than politics.","Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
At stake right now is not who wins the next election.,"Sentiment(polarity=0.1952380952380952, subjectivity=0.24523809523809526)",0.1952380952380952,0.2452380952380953
"After all, we just had an election.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
At stake is whether new jobs and industries take root in this country or somewhere else.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
It's whether the hard work and industry of our people is rewarded.,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)",-0.2916666666666667,0.5416666666666666
"It's whether we sustain the leadership that has made America not just a place on a map, but the light to the world.","Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7
We are poised for progress.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Two years after the worst recession most of us have ever known, the stock market has come roaring back, corporate profits are up, the economy is growing again.","Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375
But we have never measured progress by these yardsticks alone.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We measure progress by the success of our people, by the jobs they can find and the quality of life those jobs offer, by the prospects of a small-business owner who dreams of turning a good idea into a thriving enterprise, by the opportunities for a better life that we pass on to our children.","Sentiment(polarity=0.5, subjectivity=0.3666666666666667)",0.5,0.3666666666666667
That's the project the American people want us to work on--together.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Now, we did that in December.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Thanks to the tax cuts we passed, Americans' paychecks are a little bigger today.","Sentiment(polarity=0.00416666666666667, subjectivity=0.39999999999999997)",0.00416666666666667,0.4
Every business can write off the full cost of new investments that they make this year.,"Sentiment(polarity=0.24318181818181817, subjectivity=0.5022727272727273)",0.24318181818181814,0.5022727272727273
"And these steps, taken by Democrats and Republicans, will grow the economy and add to the more than 1 million private sector jobs created last year.","Sentiment(polarity=0.16666666666666666, subjectivity=0.3138888888888889)",0.16666666666666666,0.3138888888888889
But we have to do more.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"These steps we've taken over the last 2 years may have broken the back of this recession, but to win the future, we'll need to take on challenges that have been decades in the making.","Sentiment(polarity=0.08, subjectivity=0.19833333333333333)",0.08,0.19833333333333333
Many people watching tonight can probably remember a time when finding a good job meant showing up at a nearby factory or a business downtown.,"Sentiment(polarity=0.6, subjectivity=0.55)",0.6,0.55
"You didn't always need a degree, and your competition was pretty much limited to your neighbors.","Sentiment(polarity=0.08928571428571429, subjectivity=0.5714285714285714)",0.08928571428571429,0.5714285714285714
"If you worked hard, chances are you'd have a job for life, with a decent paycheck and good benefits and the occasional promotion.","Sentiment(polarity=0.14375, subjectivity=0.48333333333333334)",0.14375,0.4833333333333333
Maybe you'd even have the pride of seeing your kids work at the same company.,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125
That world has changed.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"And for many, the change has been painful.","Sentiment(polarity=-0.09999999999999998, subjectivity=0.7)",-0.09999999999999998,0.7
I've seen it in the shuttered windows of once booming factories and the vacant storefronts on once busy Main Streets.,"Sentiment(polarity=0.13333333333333333, subjectivity=0.31666666666666665)",0.13333333333333333,0.31666666666666665
"I've heard it in the frustrations of Americans who've seen their paychecks dwindle or their jobs disappear, proud men and women who feel like the rules have been changed in the middle of the game.","Sentiment(polarity=0.13333333333333333, subjectivity=0.4666666666666666)",0.13333333333333333,0.4666666666666666
They're right.,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.2857142857142857,0.5357142857142857
The rules have changed.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In a single generation, revolutions in technology have transformed the way we live, work, and do business.","Sentiment(polarity=0.032467532467532464, subjectivity=0.35714285714285715)",0.032467532467532464,0.35714285714285715
"Steel mills that once needed 1,000 workers can now do the same work with 100.","Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125
"Today, just about any company can set up shop, hire workers, and sell their products wherever there's an Internet connection.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Meanwhile, nations like China and India realized that with some changes of their own, they could compete in this new world.","Sentiment(polarity=0.36818181818181817, subjectivity=0.7272727272727273)",0.36818181818181817,0.7272727272727273
"And so they started educating their children earlier and longer, with greater emphasis on math and science.","Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5
They're investing in research and new technologies.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
"Just recently, China became the home to the world's largest private solar research facility and the world's fastest computer.","Sentiment(polarity=0.0, subjectivity=0.3125)",0.0,0.3125
"So yes, the world is changed.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The competition for jobs is real.,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",0.2,0.30000000000000004
But this shouldn't discourage us.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
It should challenge us.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Remember, for all the hits we've taken these last few years, for all the naysayers predicting our decline, America still has the largest, most prosperous economy in the world.","Sentiment(polarity=0.09999999999999999, subjectivity=0.22222222222222224)",0.1,0.22222222222222224
No workers are more productive than ours.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
No country has more successful companies or grants more patents to inventors and entrepreneurs.,"Sentiment(polarity=0.5833333333333334, subjectivity=0.65)",0.5833333333333334,0.65
"We're the home to the world's best colleges and universities, where more students come to study than any place on Earth.","Sentiment(polarity=0.75, subjectivity=0.4)",0.75,0.4
"What's more, we are the first nation to be founded for the sake of an idea: the idea that each of us deserves the chance to shape our own destiny.","Sentiment(polarity=0.45, subjectivity=0.611111111111111)",0.45,0.6111111111111109
That's why centuries of pioneers and immigrants have risked everything to come here.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It's why our students don't just memorize equations, but answer questions like: ""What do you think of that idea?","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
What would you change about the world?,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"What do you want to be when you grow up?""","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The future is ours to win.,"Sentiment(polarity=0.4, subjectivity=0.2625)",0.4,0.2625
"But to get there, we can't just stand still.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"As Robert Kennedy told us: ""The future is not a gift.","Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125
"It is an achievement.""","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Sustaining the American Dream has never been about standing pat.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
It has required each generation to sacrifice and struggle and meet the demands of a new age.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
And now it's our turn.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We know what it takes to compete for the jobs and industries of our time.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We need to outinnovate, outeducate, and outbuild the rest of the world.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We have to make America the best place on Earth to do business.,"Sentiment(polarity=1.0, subjectivity=0.3)",1.0,0.3
We need to take responsibility for our deficit and reform our Government.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
That's how our people will prosper.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
That's how we'll win the future.,"Sentiment(polarity=0.4, subjectivity=0.2625)",0.4,0.2625
And tonight I'd like to talk about how we get there.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The first step in winning the future is encouraging American innovation.,"Sentiment(polarity=0.1875, subjectivity=0.3020833333333333)",0.1875,0.3020833333333333
