sentence,sentiment,polarity,subjectivity
"
Fellow-Citizens of the Senate and of the House of Representatives:
The past has been an eventful year, and will be hereafter referred to as a marked epoch in the history of the world.","Sentiment(polarity=-0.075, subjectivity=0.425)",-0.075,0.425
"While we have been happily preserved from the calamities of war, our domestic prosperity has not been entirely uninterrupted.","Sentiment(polarity=0.26666666666666666, subjectivity=0.3666666666666667)",0.26666666666666666,0.3666666666666667
The crops in portions of the country have been nearly cut off.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4
"Disease has prevailed to a greater extent than usual, and the sacrifice of human life through casualties by sea and land is without parallel.","Sentiment(polarity=0.0625, subjectivity=0.2125)",0.0625,0.2125
"But the pestilence has swept by, and restored salubrity invites the absent to their homes and the return of business to its ordinary channels.","Sentiment(polarity=-0.25, subjectivity=0.5)",-0.25,0.5
"If the earth has rewarded the labor of the husbandman less bountifully than in preceding seasons, it has left him with abundance for domestic wants and a large surplus for exportation.","Sentiment(polarity=0.049523809523809526, subjectivity=0.13904761904761903)",0.049523809523809526,0.13904761904761906
"In the present, therefore, as in the past, we find ample grounds for reverent thankfulness to the God of grace and providence for His protecting care and merciful dealings with us as a people.","Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125
"Although our attention has been arrested by painful interest in passing events, yet our country feels no more than the slight vibrations of the convulsions which have shaken Europe.","Sentiment(polarity=-0.37222222222222223, subjectivity=0.5222222222222223)",-0.37222222222222223,0.5222222222222223
As individuals we can not repress sympathy with human suffering nor regret for the causes which produce it; as a nation we are reminded that whatever interrupts the peace or checks the prosperity of any part of Christendom tends more or less to involve our own.,"Sentiment(polarity=0.23333333333333334, subjectivity=0.41666666666666663)",0.2333333333333333,0.4166666666666666
The condition of States is not unlike that of individuals; they are mutually dependent upon each other.,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375
"Amicable relations between them and reciprocal good will are essential for the promotion of whatever is desirable in their moral, social, and political condition.","Sentiment(polarity=0.14666666666666667, subjectivity=0.26333333333333336)",0.14666666666666667,0.26333333333333336
Hence it has been my earnest endeavor to maintain peace and friendly intercourse with all nations.,"Sentiment(polarity=0.375, subjectivity=0.5)",0.375,0.5
"The wise theory of this Government, so early adopted and steadily pursued, of avoiding all entangling alliances has hitherto exempted it from many complications in which it would otherwise have become involved.","Sentiment(polarity=0.36666666666666664, subjectivity=0.55)",0.36666666666666653,0.55
"Notwithstanding this our clearly defined and well-sustained course of action and our geographical position, so remote from Europe, increasing disposition has been manifested by some of its Governments to supervise and in certain respects to direct our foreign policy.","Sentiment(polarity=0.04821428571428571, subjectivity=0.29662698412698413)",0.04821428571428571,0.2966269841269841
"In plans for adjusting the balance of power among themselves they have assumed to take us into account, and would constrain us to conform our conduct to their views.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
One or another of the powers of Europe has from time to time undertaken to enforce arbitrary regulations contrary in many respects to established principles of international law.,"Sentiment(polarity=0.13333333333333333, subjectivity=0.3666666666666667)",0.13333333333333333,0.3666666666666667
"That law the United States have in their foreign intercourse uniformly respected and observed, and they can not recognize any such interpolations therein as the temporary interests of others may suggest.","Sentiment(polarity=-0.0625, subjectivity=0.3125)",-0.0625,0.3125
They do not admit that the sovereigns of one continent or of a particular community of states can legislate for all others.,"Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",0.16666666666666666,0.3333333333333333
"Leaving the transatlantic nations to adjust their political system in the way they may think best for their common welfare, the independent powers of this continent may well assert the right to be exempt from all annoying interference on their part.","Sentiment(polarity=0.030952380952380936, subjectivity=0.41011904761904755)",0.030952380952380936,0.4101190476190476
Systematic abstinence from intimate political connection with distant foreign nations does not conflict with giving the widest range to our foreign commerce.,"Sentiment(polarity=-0.03, subjectivity=0.25999999999999995)",-0.03,0.25999999999999995
"This distinction, so clearly marked in history, seems to have been overlooked or disregarded by some leading foreign states.","Sentiment(polarity=-0.012499999999999997, subjectivity=0.3625)",-0.012499999999999995,0.3625
"Our refusal to be brought within and subjected to their peculiar system has, I fear, created a jealous distrust of our conduct and induced on their part occasional acts of disturbing effect upon our foreign relations.","Sentiment(polarity=-0.20833333333333334, subjectivity=0.35000000000000003)",-0.20833333333333331,0.35000000000000003
"Our present attitude and past course give assurances, which should not be questioned, that our purposes are not aggressive nor threatening to the safety and welfare of other nations.","Sentiment(polarity=-0.125, subjectivity=0.20833333333333334)",-0.125,0.20833333333333331
Our military establishment in time of peace is adapted to maintain exterior defenses and to preserve order among the aboriginal tribes within the limits of the Union.,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1
"Our naval force is intended only for the protection of our citizens abroad and of our commerce, diffused, as it is, over all the seas of the globe.","Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
"The Government of the United States, being essentially pacific in policy, stands prepared to repel invasion by the voluntary service of a patriotic people, and provides no permanent means of foreign aggression.","Sentiment(polarity=-0.0625, subjectivity=0.2125)",-0.0625,0.2125
These considerations should allay all apprehension that we are disposed to encroach on the rights or endanger the security of other states.,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375
Some European powers have regarded with disquieting concern the territorial expansion of the United States.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"This rapid growth has resulted from the legitimate exercise of sovereign rights belonging alike to all nations, and by many liberally exercised.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
