sentence,sentiment,polarity,subjectivity
"
Fellow Citizens of the Senate and of the House of Representatives:
A revolution of the seasons has nearly been completed since the representatives of the people and States of this Union were last assembled at this place to deliberate and to act upon the common important interests of their constituents.","Sentiment(polarity=0.05000000000000001, subjectivity=0.4916666666666667)",0.05000000000000001,0.4916666666666667
"In that interval the never slumbering eye of a wise and beneficent Providence has continued its guardian care over the welfare of our beloved country; the blessing of health has continued generally to prevail throughout the land; the blessing of peace with our brethren of the human race has been enjoyed without interruption; internal quiet has left our fellow citizens in the full enjoyment of all their rights and in the free exercise of all their faculties, to pursue the impulse of their nature and the obligation of their duty in the improvement of their own condition; the productions of the soil, the exchanges of commerce, the vivifying labors of human industry, have combined to mingle in our cup a portion of enjoyment as large and liberal as the indulgence of Heaven has perhaps ever granted to the imperfect state of man upon earth; and as the purest of human felicity consists in its participation with others, it is no small addition to the sum of our national happiness at this time that peace and prosperity prevail to a degree seldom experienced over the whole habitable globe, presenting, though as yet with painful exceptions, a foretaste of that blessed period of promise when the lion shall lie down with the lamb and wars shall be no more.","Sentiment(polarity=0.20160619803476945, subjectivity=0.4809901738473168)",0.20160619803476945,0.4809901738473168
"To preserve, to improve, and to perpetuate the sources and to direct in their most effective channels the streams which contribute to the public weal is the purpose for which Government was instituted.","Sentiment(polarity=0.3, subjectivity=0.4416666666666667)",0.3,0.4416666666666667
"Objects of deep importance to the welfare of the Union are constantly recurring to demand the attention of the Federal Legislature, and they call with accumulated interest at the first meeting of the two Houses after their periodical renovation.","Sentiment(polarity=0.08333333333333333, subjectivity=0.35555555555555557)",0.08333333333333333,0.3555555555555556
"To present to their consideration from time to time subjects in which the interests of the nation are most deeply involved, and for the regulation of which the legislative will is alone competent, is a duty prescribed by the Constitution, to the performance of which the first meeting of the new Congress is a period eminently appropriate, and which it is now my purpose to discharge.","Sentiment(polarity=0.2694805194805195, subjectivity=0.40779220779220776)",0.2694805194805195,0.40779220779220776
"Our relations of friendship with the other nations of the earth, political and commercial, have been preserved unimpaired, and the opportunities to improve them have been cultivated with anxious and unremitting attention.","Sentiment(polarity=-0.09375, subjectivity=0.36875)",-0.09375,0.36875
A negotiation upon subjects of high and delicate interest with the Government of Great Britain has terminated in the adjustment of some of the questions at issue upon satisfactory terms and the postponement of others for future discussion and agreement.,"Sentiment(polarity=0.165, subjectivity=0.57875)",0.165,0.57875
"The purposes of the convention concluded at St. Petersburg on 1822-07-12, under the mediation of the late Emperor Alexander, have been carried into effect by a subsequent convention, concluded at London on 1826-11-13, the ratifications of which were exchanged at that place on 1827-02-06.","Sentiment(polarity=-0.15, subjectivity=0.325)",-0.15,0.325
"A copy of the proclamations issued on 1827-03-19, publishing this convention, is herewith communicated to Congress.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The sum of $1,204,960, therein stipulated to be paid to the claimants of indemnity under the first article of the treaty of Ghent, has been duly received, and the commission instituted, comformably to the act of Congress of 1827-03-02, for the distribution of the indemnity of the persons entitled to receive it are now in session and approaching the consummation of their labors.","Sentiment(polarity=0.125, subjectivity=0.16666666666666666)",0.125,0.16666666666666666
"This final disposal of one of the most painful topics of collision between the United States and Great Britain not only affords an occasion of gratulation to ourselves, but has had the happiest effect in promoting a friendly disposition and in softening asperities upon other objects of discussion; nor ought it to pass without the tribute of a frank and cordial acknowledgment of the magnanimity with which an honorable nation, by the reparation of their own wrongs, achieves a triumph more glorious than any field of blood can ever bestow.","Sentiment(polarity=0.21666666666666667, subjectivity=0.7250000000000001)",0.21666666666666667,0.7250000000000001
"The conventions of 1815-07-03, and of 1818-10-20, will expire by their own limitation on 1828-10-20.","Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
