sentence,sentiment,polarity,subjectivity
"
Mr. Speaker, Mr. President, distinguished Members of the Congress, honored guests, and fellow citizens:
This solemn occasion marks the 196th time that a President of the United States has reported on the State of the Union since George Washington first did so in 1790.","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333
"That's a lot of reports, but there's no shortage of new things to say about the State of the Union.","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545
"The very key to our success has been our ability, foremost among nations, to preserve our lasting values by making change work for us rather than against us.","Sentiment(polarity=0.09999999999999999, subjectivity=0.3333333333333333)",0.1,0.3333333333333333
"I would like to talk with you this evening about what we can do together�not as Republicans and Democrats, but as Americans-to make tomorrow's America happy and prosperous at home, strong and respected abroad, and at peace in the world.","Sentiment(polarity=0.6166666666666667, subjectivity=0.8666666666666667)",0.6166666666666667,0.8666666666666667
"As we gather here tonight, the state of our Union is strong, but our economy is troubled.","Sentiment(polarity=-0.033333333333333354, subjectivity=0.8666666666666667)",-0.033333333333333354,0.8666666666666667
"For too many of our fellow citizens-farmers, steel and auto workers, lumbermen, black teenagers, working mothers-this is a painful period.","Sentiment(polarity=-0.12222222222222219, subjectivity=0.6111111111111112)",-0.1222222222222222,0.6111111111111112
We must all do everything in our power to bring their ordeal to an end.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It has fallen to us, in our time, to undo damage that was a long time in the making, and to begin the hard but necessary task of building a better future for ourselves and our children.","Sentiment(polarity=0.03166666666666666, subjectivity=0.5133333333333333)",0.03166666666666666,0.5133333333333333
"We have a long way to go, but thanks to the courage, patience, and strength of our people, America is on the mend.","Sentiment(polarity=0.07500000000000001, subjectivity=0.30000000000000004)",0.07500000000000001,0.30000000000000004
But let me give you just one important reason why I believe this�it involves many members of this body.,"Sentiment(polarity=0.45, subjectivity=0.75)",0.45,0.75
"Just 10 days ago, after months of debate and deadlock, the bipartisan Commission on Social Security accomplished the seemingly impossible.","Sentiment(polarity=-0.14444444444444443, subjectivity=0.5222222222222223)",-0.14444444444444446,0.5222222222222223
"Social security, as some of us had warned for so long, faced disaster.","Sentiment(polarity=-0.008333333333333335, subjectivity=0.23333333333333334)",-0.008333333333333335,0.2333333333333333
"I, myself, have been talking about this problem for almost 30 years.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"As 1983 began, the system stood on the brink of bankruptcy, a double victim of our economic ills.","Sentiment(polarity=0.041666666666666664, subjectivity=0.08333333333333333)",0.04166666666666666,0.08333333333333333
"First, a decade of rampant inflation drained its reserves as we tried to protect beneficiaries from the spiraling cost of living.","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333
Then the recession and the sudden end of inflation withered the expanding wage base and increasing revenues the system needs to support the 36 million Americans who depend on it.,"Sentiment(polarity=-0.4, subjectivity=0.75)",-0.4,0.75
