sentence,sentiment,polarity,subjectivity
"
To the Senate and House of Representatives:
The Nation continues to enjoy noteworthy prosperity.","Sentiment(polarity=0.4, subjectivity=0.5)",0.4,0.5
"Such prosperity is of course primarily due to the high individual average of our citizenship, taken together with our great natural resources; but an important factor therein is the working of our long-continued governmental policies.","Sentiment(polarity=0.148125, subjectivity=0.545625)",0.148125,0.545625
"The people have emphatically expressed their approval of the principles underlying these policies, and their desire that these principles be kept substantially unchanged, although of course applied in a progressive spirit to meet changing conditions.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The enlargement of scope of the functions of the National Government required by our development as a nation involves, of course, increase of expense; and the period of prosperity through which the country is passing justifies expenditures for permanent improvements far greater than would be wise in hard times.","Sentiment(polarity=0.25208333333333327, subjectivity=0.7354166666666666)",0.2520833333333333,0.7354166666666666
"Battle ships and forts, public buildings, and improved waterways are investments which should be made when we have the money; but abundant revenues and a large surplus always invite extravagance, and constant care should be taken to guard against unnecessary increase of the ordinary expenses of government.","Sentiment(polarity=0.027380952380952377, subjectivity=0.5297619047619048)",0.027380952380952374,0.5297619047619048
The cost of doing Government business should be regulated with the same rigid scrutiny as the cost of doing a private business.,"Sentiment(polarity=0.0, subjectivity=0.25)",0.0,0.25
"In the vast and complicated mechanism of our modern civilized life the dominant note is the note of industralism; and the relations of capital and labor, and especially of organized capital and organized labor, to each other and to the public at large come second in importance only to the intimate questions of family life.","Sentiment(polarity=0.035389610389610394, subjectivity=0.6063852813852812)",0.035389610389610394,0.6063852813852812
"Our peculiar form of government, with its sharp division of authority between the Nation and the several States, has been on the whole far more advantageous to our development than a more strongly centralized government.","Sentiment(polarity=0.22976190476190478, subjectivity=0.5547619047619048)",0.2297619047619048,0.5547619047619048
But it is undoubtedly responsible for much of the difficulty of meeting with adequate legislation the new problems presented by the total change in industrial conditions on this continent during the last half century.,"Sentiment(polarity=0.10043290043290044, subjectivity=0.3601731601731602)",0.10043290043290044,0.3601731601731602
"In actual practice it has proved exceedingly difficult, and in many cases impossible, to get unanimity of wise action among the various States on these subjects.","Sentiment(polarity=0.019047619047619046, subjectivity=0.5857142857142856)",0.019047619047619046,0.5857142857142856
From the very nature of the case this is especially true of the laws affecting the employment of capital in huge masses.,"Sentiment(polarity=0.43333333333333335, subjectivity=0.7333333333333334)",0.43333333333333335,0.7333333333333334
"With regard to labor the problem is no less important, but it is simpler.","Sentiment(polarity=0.24166666666666667, subjectivity=0.5333333333333333)",0.2416666666666667,0.5333333333333333
"As long as the States retain the primary control of the police power the circumstances must be altogether extreme which require interference by the Federal authorities, whether in the way of safeguarding the rights of labor or in the way of seeing that wrong is not done by unruly persons who shield themselves behind the name of labor.","Sentiment(polarity=-0.135, subjectivity=0.7)",-0.135,0.7
"If there is resistance to the Federal courts, interference with the mails, or interstate commerce, or molestation of Federal property, or if the State authorities in some crisis which they are unable to face call for help, then the Federal Government may interfere; but though such interference may be caused by a condition of things arising out of trouble connected with some question of labor, the interference itself simply takes the form of restoring order without regard to the questions which have caused the breach of order--for to keep order is a primary duty and in a time of disorder and violence all other questions sink into abeyance until order has been restored.","Sentiment(polarity=-0.07083333333333332, subjectivity=0.4053571428571428)",-0.07083333333333333,0.4053571428571428
"In the District of Columbia and in the Territories the Federal law covers the entire field of government; but the labor question is only acute in populous centers of commerce, manufactures, or mining.","Sentiment(polarity=0.19999999999999998, subjectivity=0.8416666666666667)",0.2,0.8416666666666667
"Nevertheless, both in the enactment and in the enforcement of law the Federal Government within its restricted sphere should set an example to the State governments, especially in a matter so vital as this affecting labor.","Sentiment(polarity=0.05, subjectivity=0.7)",0.05,0.7
"I believe that under modern industrial conditions it is often necessary, and even where not necessary it is yet often wise, that there should be organization of labor in order better to secure the rights of the individual wage-worker.","Sentiment(polarity=0.2571428571428571, subjectivity=0.6714285714285715)",0.2571428571428571,0.6714285714285715
All encouragement should be given to any such organization so long as it is conducted with a due and decent regard for the rights of others.,"Sentiment(polarity=-0.002083333333333333, subjectivity=0.4854166666666666)",-0.002083333333333333,0.4854166666666666
"There are in this country some labor unions which have habitually, and other labor unions which have often, been among the most effective agents in working for good citizenship and for uplifting the condition of those whose welfare should be closest to our hearts.","Sentiment(polarity=0.41874999999999996, subjectivity=0.5687500000000001)",0.41875,0.5687500000000001
"But when any labor union seeks improper ends, or seeks to achieve proper ends by improper means, all good citizens and more especially all honorable public servants must oppose the wrongdoing as resolutely as they would oppose the wrongdoing of any great corporation.","Sentiment(polarity=0.3333333333333333, subjectivity=0.5027777777777779)",0.3333333333333333,0.5027777777777779
"Of course any violence, brutality, or corruption, should not for one moment be tolerated.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Wage-workers have an entire right to organize and by all peaceful and honorable means to endeavor to persuade their fellows to join with them in organizations.,"Sentiment(polarity=0.17857142857142858, subjectivity=0.5535714285714285)",0.17857142857142858,0.5535714285714285
"They have a legal right, which, according to circumstances, may or may not be a moral right, to refuse to work in company with men who decline to join their organizations.","Sentiment(polarity=0.19285714285714284, subjectivity=0.38035714285714284)",0.19285714285714284,0.3803571428571429
"They have under no circumstances the right to commit violence upon these, whether capitalists or wage-workers, who refuse to support their organizations, or who side with those with whom they are at odds; for mob rule is intolerable in any form.","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.2857142857142857,0.5357142857142857
The wage-workers are peculiarly entitled to the protection and the encouragement of the law.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"From the very nature of their occupation railroad men, for instance, are liable to be maimed in doing the legitimate work of their profession, unless the railroad companies are required by law to make ample provision for their safety.","Sentiment(polarity=0.05, subjectivity=0.4)",0.05,0.4
The Administration has been zealous in enforcing the existing law for this purpose.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
That law should be amended and strengthened.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Wherever the National Government has power there should be a stringent employer's liability law, which should apply to the Government itself where the Government is an employer of labor.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In my Message to the Fifty-seventh Congress, at its second session, I urged the passage of an employer's liability law for the District of Columbia.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"I now renew that recommendation, and further recommend that the Congress appoint a commission to make a comprehensive study of employer's liability with the view of extending the provisions of a great and constitutional law to all employments within the scope of Federal power.","Sentiment(polarity=0.4, subjectivity=0.625)",0.4,0.625
"The Government has recognized heroism upon the water, and bestows medals of honor upon those persons who by extreme and heroic daring have endangered their lives in saving, or endeavoring to save, lives from the perils of the sea in the waters over which the United States has jurisdiction, or upon an American vessel.","Sentiment(polarity=0.19166666666666665, subjectivity=0.6333333333333333)",0.19166666666666665,0.6333333333333333
"This recognition should be extended to cover cases of conspicuous bravery and self-sacrifice in the saving of life in private employments under the jurisdiction of the United States, and particularly in the land commerce of the Nation.","Sentiment(polarity=0.08333333333333333, subjectivity=0.35416666666666663)",0.08333333333333333,0.35416666666666663
"The ever-increasing casualty list upon our railroads is a matter of grave public concern, and urgently calls for action by the Congress.","Sentiment(polarity=0.05, subjectivity=0.08333333333333334)",0.05,0.08333333333333334
"In the matter of speed and comfort of railway travel our railroads give at least as good service as those of any other nation, and there is no reason why this service should not also be as safe as human ingenuity can make it.","Sentiment(polarity=0.15499999999999997, subjectivity=0.395)",0.15499999999999994,0.395
"Many of our leading roads have been foremost in the adoption of the most approved safeguards for the protection of travelers and employees, yet the list of clearly avoidable accidents continues unduly large.","Sentiment(polarity=0.32857142857142857, subjectivity=0.4529761904761905)",0.32857142857142857,0.4529761904761905
The passage of a law requiring the adoption of a block-signal system has been proposed to the Congress.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
