sentence,sentiment,polarity,subjectivity
"
The relations of the United States with all foreign governments have continued upon the normal basis of amity and good understanding, and are very generally satisfactory.","Sentiment(polarity=0.1975, subjectivity=0.50625)",0.1975,0.50625
EUROPE .,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Pursuant to the provisions of the general treaty of arbitration concluded between the United States and Great Britain, April 4, 1908, a special agreement was entered into between the two countries on January 27, 1909, for the submission of questions relating to the fisheries on the North Atlantic Coast to a tribunal to be formed from members of the Permanent Court of Arbitration at The Hague.","Sentiment(polarity=0.40238095238095245, subjectivity=0.6071428571428571)",0.4023809523809525,0.6071428571428571
"In accordance with the provisions of the special agreement the printed case of each Government was, on October 4 last, submitted to the other and to the Arbitral Tribunal at The Hague, and the counter case of the United States is now in course of preparation.","Sentiment(polarity=0.07738095238095238, subjectivity=0.33769841269841266)",0.07738095238095237,0.33769841269841266
The American rights under the fisheries article of the Treaty of 1818 have been a cause of difference between the United States and Great Britain for nearly seventy years.,"Sentiment(polarity=0.3, subjectivity=0.3833333333333333)",0.3,0.3833333333333333
"The interests involved are of great importance to the American fishing industry, and the final settlement of the controversy will remove a source of constant irritation and complaint.","Sentiment(polarity=0.1, subjectivity=0.4566666666666667)",0.1,0.4566666666666667
This is the first case involving such great international questions which has been submitted to the Permanent Court of Arbitration at The Hague.,"Sentiment(polarity=0.2625, subjectivity=0.3958333333333333)",0.2625,0.3958333333333333
"The treaty between the United States and Great Britain concerning the Canadian International boundary, concluded April 11, 1908, authorizes the appointment of two commissioners to define and mark accurately the international boundary line between the United States and the Dominion of Canada in the waters of the Passamaquoddy Bay, and provides for the exchange of briefs within the period of six months.","Sentiment(polarity=0.30000000000000004, subjectivity=0.3458333333333333)",0.30000000000000004,0.3458333333333333
"The briefs were duly presented within the prescribed period, but as the commissioners failed to agree within six months after the exchange of the printed statements, as required by the treaty, it has now become necessary to resort to the arbitration provided for in the article.","Sentiment(polarity=-0.25, subjectivity=0.65)",-0.25,0.65
"The International Fisheries Commission appointed pursuant to and under the authority of the Convention of April 11, 1908, between the United States and Great Britain, has completed a system of uniform and common international regulations for the protection and preservation of the food fishes in international boundary waters of the United States and Canada.","Sentiment(polarity=0.1, subjectivity=0.25)",0.1,0.25
The regulations will be duly submitted to Congress with a view to the enactment of such legislation as will be necessary under the convention to put them into operation.,"Sentiment(polarity=0.0, subjectivity=0.75)",0.0,0.75
