sentence,sentiment,polarity,subjectivity
"
Mr. President, Mr. Speaker, Members of the Congress:
This 82d Congress faces as grave a task as any Congress in the history of our Republic.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
The actions you take will be watched by the whole world.,"Sentiment(polarity=0.2, subjectivity=0.4)",0.2,0.4
"These actions will measure the ability of a free people, acting through their chosen representatives and their free institutions, to meet a deadly challenge to their way of life.","Sentiment(polarity=0.15000000000000002, subjectivity=0.5)",0.15000000000000002,0.5
We can meet this challenge foolishly or wisely.,"Sentiment(polarity=0.7, subjectivity=0.9)",0.7,0.9
"We can meet it timidly or bravely, shamefully or honorably.","Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1.0
I know that the 82d Congress will meet this challenge in a way worthy of our great heritage.,"Sentiment(polarity=0.5666666666666667, subjectivity=0.875)",0.5666666666666667,0.875
"I know that your debates will be earnest, responsible, constructive, and to the point.","Sentiment(polarity=0.2, subjectivity=0.55)",0.2,0.55
I know that from these debates there will come the great decisions needed to carry us forward.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"At this critical time, I am glad to say that our country is in a healthy condition.","Sentiment(polarity=0.3333333333333333, subjectivity=0.7666666666666666)",0.3333333333333333,0.7666666666666666
Our democratic institutions are sound and strong.,"Sentiment(polarity=0.41666666666666663, subjectivity=0.5666666666666667)",0.4166666666666666,0.5666666666666667
We have more men and women at work than ever before.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"We are able to produce more than ever before--in fact, far more than any country ever produced in the history of the world.","Sentiment(polarity=0.4, subjectivity=0.65625)",0.4,0.65625
I am confident that we can succeed in the great task that lies before us.,"Sentiment(polarity=0.65, subjectivity=0.7916666666666667)",0.65,0.7916666666666667
"We will succeed, but we must all do our part.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
We must all act together as citizens of this great Republic.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"As we meet here today, American soldiers are fighting a bitter campaign in Korea.","Sentiment(polarity=-0.05, subjectivity=0.25)",-0.05,0.25
"We pay tribute to their courage, devotion, and gallantry.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
