sentence,sentiment,polarity,subjectivity
"In regard to the Indian tribes residing within our jurisdictional limits, the greatest vigilance of the Government has been exerted to preserve them at peace among themselves and to inspire them with feelings of confidence in the justice of this Government and to cultivate friendship with the border inhabitants.","Sentiment(polarity=1.0, subjectivity=1.0)",1,1
"The question seemed to be not how the best currency could be provided, but in what manner the greatest amount of bank paper could be put in circulation.","Sentiment(polarity=1.0, subjectivity=0.65)",1,0.65
A summer campaign was resolved upon as the best mode of bringing it to a close.,"Sentiment(polarity=1.0, subjectivity=0.3)",1,0.3
I take the greatest pleasure in bearing testimony to the zeal and untiring industry which has characterized the conduct of the members of the Executive Cabinet.,"Sentiment(polarity=1.0, subjectivity=1.0)",1,1
"I trust that whilst you may see in it nothing objectionable, it may be the means of preserving for an indefinite period the amicable relations happily existing between the two Governments.","Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1
"A strict system of accountability is established and great pains are taken to insure industry, fidelity, and economy in every department of duty.","Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"Between the years 1833 and 1838 additions were made to bank capital and bank issues, in the form of notes designed for circulation, to an extent enormously great.","Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"It was proposed to place it under the control and direction of a Treasury board to consist of three commissioners, whose duty it should be to see that the law of its creation was faithfully executed and that the great end of supplying a paper medium of exchange at all times convertible into gold and silver should be attained.","Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"The exchequer, if adopted, will greatly aid in bringing about this result.","Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"These are the great instruments of civilization, and through the use of them alone can the untutored child of the forest be induced to listen to its teachings.","Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
The task of furnishing a corrective for derangements of the paper medium with us is almost inexpressibly great.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
I am nevertheless not without hope that the great advantages which were intended to be secured by the treaty may yet be realized.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"The credit of the Government, which had experienced a temporary embarrassment, has been thoroughly restored.","Sentiment(polarity=0.8, subjectivity=0.9)",0.8,0.9
The great popular election which has just terminated afforded the best opportunity of ascertaining the will of the States and the people upon it.,"Sentiment(polarity=0.7999999999999999, subjectivity=0.65)",0.8,0.65
"While every effort has been and will continue to be made to retrench all superfluities and lop off all excrescences which from time to time may have grown up, yet it has not been regarded as wise or prudent to recommend any material change in the annual appropriations.","Sentiment(polarity=0.7, subjectivity=0.9)",0.7,0.9
That it should have defects can therefore be surprising to no one.,"Sentiment(polarity=0.7, subjectivity=0.5)",0.7,0.5
It can not be too often repeated that no system of legislation can be wise which is fluctuating and uncertain.,"Sentiment(polarity=0.7, subjectivity=0.9)",0.7,0.9
"It will afford me the greatest pleasure to witness a happy and favorable termination to the existing negotiation upon terms compatible with the public honor, and the best efforts of the Government will continue to be directed to this end.","Sentiment(polarity=0.7, subjectivity=0.5916666666666667)",0.7,0.591666667
"What principle of good faith, then, was violated?","Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6
To the establishment and elucidation of this principle no nation has lent its authority more efficiently than Great Britain.,"Sentiment(polarity=0.65, subjectivity=0.625)",0.65,0.625
"Contracts are entered into by individuals resting on this unsubstantial state of things, but the delusion speedily passes away and the country is overrun with an indebtedness so weighty as to overwhelm many and to visit every department of industry with great and ruinous embarrassment.","Sentiment(polarity=0.65, subjectivity=0.625)",0.65,0.625
"When that surplus greatly exceeds in amount what shall be required by a wise and prudent forecast to meet unforeseen contingencies, the Legislature itself may come to be seized with a disposition to indulge in extravagant appropriations to objects many of which may, and most probably would, be found to conflict with the Constitution.","Sentiment(polarity=0.625, subjectivity=0.6625)",0.625,0.6625
"I refer you to the report of the Secretary of War for an exhibition of the condition of the Army, and recommend to you as well worthy your best consideration many of the suggestions it contains.","Sentiment(polarity=0.611111111111111, subjectivity=0.6)",0.611111111,0.6
"Our own interests are involved in the matter, since, however neutral may be our course of policy, we can not hope to escape the effects of a spirit of jealousy on the part of both of the powers.","Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1
"The Government of the United States will feel it to be its duty, however, to consent to no delay not unavoidable in making satisfaction for wrongs and injuries sustained by its own citizens.","Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1
The warehousing system would enable the importer to watch the market and to select his own time for offering his goods for sale.,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1
"The post-office laws have been honestly administered, and fidelity has been observed in accounting for and paying over by the subordinates of the Department the moneys which have been received.","Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9
But a perfect security against a proceeding so reckless would be found to exist in the very nature of things.,"Sentiment(polarity=0.6, subjectivity=0.65)",0.6,0.65
It is a question for our own decision whether she shall be received or not.,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1
The Government which is not just to its own people can neither claim their affection nor the respect of the world.,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1
"While I am free to admit that the necessities of the times have since become greatly ameliorated and that there is good reason to hope that the country is safely and rapidly emerging from the difficulties and embarrassments which everywhere surrounded it in 1841, yet I can not but think that its restoration to a sound and healthy condition would be greatly expedited by a resort to the expedient in a modified form.","Sentiment(polarity=0.5857142857142857, subjectivity=0.6142857142857144)",0.585714286,0.614285714
"Settled principally by emigrants from the United States, we have the happiness to know that the great principles of civil liberty are there destined to flourish under wise institutions and wholesome laws, and that through its example another evidence is to be afforded of the capacity of popular institutions to advance the prosperity, happiness, and permanent glory of the human race.","Sentiment(polarity=0.5833333333333334, subjectivity=0.5083333333333334)",0.583333333,0.508333333
"The operations of the Treasury now rest upon the act of 1789 and the resolution of 1816, and those laws have been so administered as to produce as great a quantum of good to the country as their provisions are capable of yielding.","Sentiment(polarity=0.5666666666666667, subjectivity=0.5833333333333334)",0.566666667,0.583333333
"She was free to treat, free to adopt her own line of policy, free to take the course which she believed was best calculated to secure her happiness.","Sentiment(polarity=0.557142857142857, subjectivity=0.6428571428571429)",0.557142857,0.642857143
There is ground for high commendation of the officers and men for the coolness and intrepidity and perfect submission to discipline evinced under the most trying circumstances.,"Sentiment(polarity=0.5533333333333333, subjectivity=0.68)",0.553333333,0.68
"Nor will the plan be submitted in any overweening confidence in the sufficiency of my own judgment, but with much greater reliance on the wisdom and patriotism of Congress.","Sentiment(polarity=0.55, subjectivity=0.75)",0.55,0.75
My convictions are most strong that these benefits would flow from the adoption of this measure; but if the result should be adverse there is this security in connection with it--that the law creating it may be repealed at the pleasure of the Legislature without the slightest implication of its good faith.,"Sentiment(polarity=0.5444444444444444, subjectivity=0.6111111111111112)",0.544444444,0.611111111
"An efficient navy, while it is the cheapest means of public defense, enlists in its support the feelings of pride and confidence which brilliant deeds and heroic valor have heretofore served to strengthen and confirm.","Sentiment(polarity=0.5333333333333333, subjectivity=0.6555555555555556)",0.533333333,0.655555556
"There are outstanding Treasury notes to about the amount of $4,600,000, and should they be returned upon the Treasury during the fiscal year they will require provision for their redemption.","Sentiment(polarity=0.5, subjectivity=0.875)",0.5,0.875
There is also too much reason to fear that the franking privilege has run into great abuse.,"Sentiment(polarity=0.5, subjectivity=0.475)",0.5,0.475
"I can not close this communication, gentlemen, without recommending to your most favorable consideration the interests of this District.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
"By the tenth article of the treaty of Ghent it was expressly declared that--
Whereas the traffic in slaves is irreconcilable with the principles of humanity and justice, and whereas both His Majesty and the United States are desirous of continuing their efforts to promote its entire abolition, it is hereby agreed that both the contracting parties shall use their best endeavors to accomplish so desirable an object.","Sentiment(polarity=0.5, subjectivity=0.4625)",0.5,0.4625
And in announcing this sentiment I do but affirm a principle which no nation on earth would be more ready to vindicate at all hazards than the people and Government of Great Britain.,"Sentiment(polarity=0.5, subjectivity=0.5833333333333334)",0.5,0.583333333
