sentence,sentiment,polarity,subjectivity
"
Fellow-Citizens of the Senate and House of Representatives:
Since the commencement of the term for which I have been again called into office no fit occasion has arisen for expressing to me fellow citizens at large the deep and respectful sense which I feel of the renewed testimony of public approbation.","Sentiment(polarity=0.10285714285714284, subjectivity=0.39904761904761904)",0.10285714285714284,0.39904761904761904
"While on the one hand it awakened my gratitude for all those instances of affectionate partiality with which I have been honored by my country, on the other it could not prevent an earnest wish for that retirement from which no private consideration should ever have torn me.","Sentiment(polarity=-0.0625, subjectivity=0.375)",-0.0625,0.375
"But influenced by the belief that my conduct would be estimated according to its real motives, and that the people, and the authorities derived from them, would support exertions having nothing personal for their object, I have obeyed the suffrage which commanded me to resume the Executive power; and I humbly implore that Being on whose will the fate of nations depends to crown with success our mutual endeavors for the general happiness.","Sentiment(polarity=0.17499999999999996, subjectivity=0.2833333333333333)",0.17499999999999996,0.2833333333333333
As soon as the war in Europe had embraced those powers with whom the United States have the most extensive relations there was reason to apprehend that our intercourse with them might be interrupted and our disposition for peace drawn into question by the suspicions too often entertained by belligerent nations.,"Sentiment(polarity=0.25, subjectivity=0.41666666666666663)",0.25,0.4166666666666666
"It seemed, therefore, to be my duty to admonish our citizens of the consequences of a contraband trade and of hostile acts to any of the parties, and to obtain by a declaration of the existing legal state of things an easier admission of our right to the immunities belonging to our situation.","Sentiment(polarity=0.24285714285714285, subjectivity=0.3678571428571429)",0.24285714285714285,0.3678571428571429
Under these impressions the proclamation which will be laid before you was issued.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In this posture of affairs, both new and delicate, I resolved to adopt general rules which should conform to the treaties and assert the privileges of the United States.","Sentiment(polarity=-0.03787878787878787, subjectivity=0.6181818181818182)",-0.037878787878787866,0.6181818181818182
"These were reduced into a system, which will be communicated to you.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Although I have not thought of myself at liberty to forbid the sale of the prizes permitted by our treaty of commerce with France to be brought into our ports, I have not refused to cause them to be restored when they were taken within the protection of our territory, or by vessels commissioned or equipped in a warlike form within the limits of the United States.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"It rests with the wisdom of Congress to correct, improve, or enforce this plan of procedure; and it will probably be found expedient to extend the legal code and the jurisdiction of the courts of the United States to many cases which, though dependent on principles already recognized, demand some further provisions.","Sentiment(polarity=0.2333333333333333, subjectivity=0.39999999999999997)",0.2333333333333333,0.4
"Where individuals shall, within the United States, array themselves in hostility against any of the powers at war, or enter upon military expeditions or enterprises within the jurisdiction of the United States, or usurp and exercise judicial authority within the United States, or where the penalties on violations of the law of nations may have been indistinctly marked, or are inadequate - these offenses can not receive too early and close an attention, and require prompt and decisive remedies.","Sentiment(polarity=0.03333333333333333, subjectivity=0.3333333333333333)",0.03333333333333333,0.3333333333333333
"Whatsoever those remedies may be, they will be well administered by the judiciary, who possess a long-established course of investigation, effectual process, and officers in the habit of executing it.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"In like manner, as several of the courts have doubted, under particular circumstances, their power to liberate the vessels of a nation at peace, and even of a citizen of the United States, although seized under a false color of being hostile property, and have denied their power to liberate certain captures within the protection of our territory, it would seem proper to regulate their jurisdiction in these points.","Sentiment(polarity=-0.0038095238095238295, subjectivity=0.320952380952381)",-0.00380952380952383,0.32095238095238104
"But if the Executive is to be the resort in either of the two last-mentioned cases, it is hoped that he will be authorized by law to have facts ascertained by the courts when for his own information he shall request it.","Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
I can not recommend to your notice measures for the fulfillment of our duties to the rest of the world without again pressing upon you the necessity of placing ourselves in a condition of complete defense and of exacting from them the fulfillment of their duties toward us.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4
"The United States ought not to indulge a persuasion that, contrary to the order of human events, they will forever keep at a distance those painful appeals to arms with which the history of every other nation abounds.","Sentiment(polarity=-0.27499999999999997, subjectivity=0.4583333333333333)",-0.275,0.4583333333333333
"There is a rank due to the United States among nations which will be withheld, if not absolutely lost, by the reputation of weakness.","Sentiment(polarity=-0.34166666666666673, subjectivity=0.725)",-0.34166666666666673,0.725
"If we desire to avoid insult, we must be able to repel it; if we desire to secure peace, one of the most powerful instruments of our rising prosperity, it must be known that we are at all times ready for war.","Sentiment(polarity=0.38, subjectivity=0.645)",0.38,0.645
"The documents which will be presented to you will shew the amount and kinds of arms and military stores now in our magazines and arsenals; and yet an addition even to these supplies can not with prudence be neglected, as it would leave nothing to the uncertainty of procuring warlike apparatus in the moment of public danger.","Sentiment(polarity=-0.05, subjectivity=0.08333333333333334)",-0.05,0.08333333333333334
"Nor can such arrangements, with such objects, be exposed to the censure or jealousy of the warmest friends of republican government.","Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
"They are incapable of abuse in the hands of the militia, who ought to possess a pride in being the depository of the force of the Republic, and may be trained to a degree of energy equal to every military exigency of the United States.","Sentiment(polarity=-0.05, subjectivity=0.175)",-0.05,0.175
"But it is an inquiry which can not be too solemnly pursued, whether the act ""more effectually to provide for the national defense by establishing an uniform militia throughout the United States"" has organized them so as to produce their full effect; whether your own experience in the several States has not detected some imperfections in the scheme, and whether a material feature in an improvement of it ought not to be to afford an opportunity for the study of those branches of the military art which can scarcely ever be attained by practice alone.","Sentiment(polarity=0.26999999999999996, subjectivity=0.43)",0.27,0.43
The connection of the United States with Europe has become extremely interesting.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
The occurrences which relate to it and have passed under the knowledge of the Executive will be exhibited to Congress in a subsequent communication.,"Sentiment(polarity=0.0, subjectivity=0.05)",0.0,0.05
