sentence,sentiment,polarity,subjectivity
"
GENTLEMEN OF THE CONGRESS:
When I addressed myself to performing the duty laid upon the President by the Constitution to present to you an annual report on the state of the Union, I found my thought dominated by an immortal sentence of Abraham Lincoln's-""Let us have faith that right makes might, and in that faith let us dare to do our duty as we understand it"" -a sentence immortal because it embodies in a form of utter simplicity and purity the essential faith of the nation, the faith in which it was conceived, and the faith in which it has grown to glory and power.","Sentiment(polarity=0.07142857142857142, subjectivity=0.4589285714285714)",0.07142857142857142,0.4589285714285714
"With that faith and the birth of a nation founded upon it came the hope into the world that a new order would prevail throughout the affairs of mankind, an order in which reason and right would take precedence over covetousness and force; and I believe that I express the wish and purpose of every thoughtful American when I say that this sentence marks for us in the plainest manner the part we should play alike in the arrangement of our domestic affairs and in our exercise of influence upon the affairs of the world.","Sentiment(polarity=0.1644155844155844, subjectivity=0.31805194805194803)",0.1644155844155844,0.31805194805194803
"By this faith, and by this faith alone, can the world be lifted out of its present confusion and despair.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
It was this faith which prevailed over the wicked force of Germany.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
You will remember that the beginning of the end of the war came when the German people found themselves face to face with the conscience of the world and realized that right was everywhere arrayed against the wrong that their government was attempting to perpetrate.,"Sentiment(polarity=-0.07142857142857144, subjectivity=0.4785714285714286)",-0.07142857142857144,0.4785714285714286
"I think, therefore, that it is true to say that this was the faith which won the war.","Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65
Certainly this is the faith with which our gallant men went into the field and out upon the seas to make sure of victory.,"Sentiment(polarity=0.35714285714285715, subjectivity=0.7301587301587301)",0.35714285714285715,0.7301587301587301
This is the mission upon which Democracy came into the world.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Democracy is an assertion of the right of the individual to live and to be treated justly as against any attempt on the part of any combination of individuals to make laws which will overburden him or which will destroy his equality among his fellows in the matter of right or privilege; and I think we all realize that the day has come when Democracy is being put upon its final test.,"Sentiment(polarity=0.08463203463203461, subjectivity=0.49523809523809526)",0.08463203463203461,0.4952380952380953
"The Old World is just now suffering from a wanton rejection of the principle of democracy and a substitution of the principle of autocracy as asserted in the name, but without the authority and sanction, of the multitude.","Sentiment(polarity=0.1, subjectivity=0.2)",0.1,0.2
